,snap_num,pos,nick,lap,gap
0,3,1,Vettel,3, 
1,3,2,Button,3,3.5
2,3,3,Alonso,3,4.1
3,3,4,Webber,3,5.8
4,3,5,Massa,3,6.7
5,3,6,Rosberg,3,6.6
6,3,7,Schumacher,3,7.3
7,3,8,Hamilton,3,7.9
8,3,9,Sutil,3,9.2
9,3,10,Di Resta,3,10.7
10,3,11,Perez,3,11.3
11,3,12,Maldonado,3,11.8
12,3,13,Barrichello,3,12.4
13,3,14,Senna,3,13.1
14,3,15,Buemi,3,13.8
15,3,16,Kobayashi,3,14.3
16,3,17,Trulli,3,15.1
17,3,18,Alguersuari,3,16.1
18,3,19,Petrov,3,16.7
19,3,20,Kovalainen,3,17.1
20,3,21,D'Ambrosio,3,18.1
21,3,22,Glock,3,18.5
22,3,23,Liuzzi,3,19.2
23,3,24,Ricciardo,OUT,73.4
0,4,1,Vettel,4, 
1,4,2,Button,4,4.4
2,4,3,Alonso,4,5.0
3,4,4,Webber,4,5.8
4,4,5,Massa,4,6.7
5,4,6,Rosberg,4,8.4
6,4,7,Schumacher,4,9.5
7,4,8,Hamilton,4,9.9
8,4,9,Sutil,4,11.7
9,4,10,Di Resta,4,13.8
10,4,11,Perez,4,14.5
11,4,12,Maldonado,4,15.4
12,4,13,Barrichello,4,16.2
13,4,14,Senna,4,17.6
14,4,15,Buemi,4,18.2
15,4,16,Kobayashi,4,19.0
16,4,17,Trulli,4,20.4
17,4,18,Alguersuari,4,21.4
18,4,19,Petrov,4,22.3
19,4,20,Kovalainen,4,23.0
20,4,21,D'Ambrosio,4,24.9
21,4,22,Glock,4,25.6
22,4,23,Liuzzi,4,26.6
23,4,24,Ricciardo,3,1L
0,5,1,Vettel,5, 
1,5,2,Button,5,5.5
2,5,3,Alonso,5,6.7
3,5,4,Webber,5,7.7
4,5,5,Massa,5,7.6
5,5,6,Rosberg,5,9.6
6,5,7,Schumacher,5,11.4
7,5,8,Hamilton,5,11.9
8,5,9,Sutil,5,13.8
9,5,10,Di Resta,5,17.0
10,5,11,Perez,5,17.7
11,5,12,Maldonado,5,18.3
12,5,13,Barrichello,5,19.3
13,5,14,Senna,5,21.5
14,5,15,Buemi,5,22.1
15,5,16,Kobayashi,5,22.8
16,5,17,Trulli,5,25.3
17,5,18,Alguersuari,5,26.1
18,5,19,Petrov,5,27.0
19,5,20,Kovalainen,5,28.0
20,5,21,D'Ambrosio,5,31.1
21,5,22,Glock,5,32.4
22,5,23,Liuzzi,5,33.3
23,5,24,Ricciardo,4,1L
0,6,1,Vettel,6, 
1,6,2,Button,6,5.5
2,6,3,Alonso,6,6.7
3,6,4,Webber,6,7.7
4,6,5,Massa,6,9.0
5,6,6,Rosberg,6,12.8
6,6,7,Hamilton,6,13.0
7,6,8,Schumacher,6,14.8
8,6,9,Sutil,6,16.8
9,6,10,Di Resta,6,20.1
10,6,11,Perez,6,21.0
11,6,12,Maldonado,6,22.3
12,6,13,Barrichello,6,23.5
13,6,14,Senna,6,26.5
14,6,15,Buemi,6,27.2
15,6,16,Kobayashi,6,27.7
16,6,17,Trulli,6,30.5
17,6,18,Alguersuari,6,31.4
18,6,19,Petrov,6,31.9
19,6,20,Kovalainen,6,32.9
