,snap_num,pos,nick,lap,gap,int,pits,t
0,3,1,Hamilton,4, , ,0,1:48.809
1,3,2,Raikkonen,4,1.9,1.900,0,1:49.876
2,3,3,Maldonado,4,2.8,0.800,0,1:49.944
3,3,4,Alonso,4,3.5,0.700,0,1:49.983
4,3,5,Webber,4,4.2,0.700,0,1:49.854
5,3,6,Button,4,5.1,0.900,0,1:49.812
6,3,7,Massa,4,6.2,1.000,0,1:50.051
7,3,8,Kobayashi,4,7.4,1.100,0,1:50.395
8,3,9,Perez,4,7.8,0.400,0,1:50.009
9,3,10,Schumacher,4,9.7,1.800,0,1:50.572
10,3,11,Ricciardo,4,10.9,1.100,0,1:50.799
11,3,12,Vergne,4,11.6,0.700,0,1:50.905
12,3,13,Kovalainen,4,14.6,2.900,0,1:51.208
13,3,14,Glock,4,18.2,3.600,0,1:52.422
14,3,15,Petrov,4,19.0,0.800,0,1:52.463
15,3,16,Vettel,4,19.4,0.300,0,1:51.468
16,3,17,Senna,4,19.9,0.500,0,1:52.502
17,3,18,Pic,4,21.0,1.000,0,1:53.936
18,3,19,Karthikeyan,4,23.0,2.000,0,1:53.706
19,3,20,de la Rosa,4,27.4,4.300,0,1:52.823
20,3,21,Rosberg,4,36.5,9.100,1,1:49.572
21,3,22,Grosjean,4,58.0,21.400,1,1:50.004
22,3,23,Di Resta,4,82.9,26.100,1,2:16.608
23,3,24,Hulkenberg,×,3L, ,0,
0,4,1,Hamilton,5, , ,0,1:48.552
1,4,2,Raikkonen,5,2.3,2.300,0,1:48.985
2,4,3,Maldonado,5,3.6,1.200,0,1:49.412
3,4,4,Alonso,5,4.4,0.800,0,1:49.521
4,4,5,Webber,5,5.3,0.800,0,1:49.661
5,4,6,Button,5,6.1,0.800,0,1:49.569
6,4,7,Massa,5,7.4,1.300,0,1:49.797
7,4,8,Perez,5,8.9,1.500,0,1:49.657
8,4,9,Kobayashi,5,10.4,1.400,0,1:51.601
9,4,10,Schumacher,5,11.5,1.000,0,1:50.305
10,4,11,Ricciardo,5,12.7,1.200,0,1:50.376
11,4,12,Vergne,5,13.5,0.700,0,1:50.390
12,4,13,Kovalainen,5,17.2,3.700,0,1:51.217
13,4,14,Vettel,5,21.0,3.700,0,1:50.161
14,4,15,Glock,5,22.9,1.900,0,1:53.274
15,4,16,Petrov,5,23.4,0.500,0,1:52.983
