,snap_num,pos,nick,lap,gap,int,pits,t
0,3,1,Vettel,5, , ,0,1:40.336
1,3,2,Hamilton,5,3.3,3.300,0,1:40.730
2,3,3,Webber,5,4.4,1.100,0,1:40.949
3,3,4,Grosjean,5,4.8,0.400,0,1:40.917
4,3,5,Alonso,5,6.2,1.300,0,1:41.246
5,3,6,Button,5,7.1,0.900,0,1:41.381
6,3,7,Massa,5,8.9,1.800,0,1:41.936
7,3,8,Raikkonen,5,9.5,0.500,0,1:42.687
8,3,9,Rosberg,5,10.4,0.900,0,1:42.664
9,3,10,Perez,5,11.3,0.800,0,1:43.238
10,3,11,Di Resta,5,11.4,0.000,0,1:42.503
11,3,12,Senna,5,12.2,0.800,0,1:42.201
12,3,13,Kobayashi,5,13.2,0.900,0,1:42.525
13,3,14,Vergne,5,13.7,0.500,0,1:42.468
14,3,15,Maldonado,5,14.4,0.600,0,1:42.095
15,3,16,Schumacher,5,15.0,0.500,0,1:42.188
16,3,17,Ricciardo,5,16.3,1.300,0,1:42.746
17,3,18,Petrov,5,16.8,0.500,0,1:42.905
18,3,19,Hulkenberg,5,17.3,0.400,0,1:42.978
19,3,20,Pic,5,19.7,2.400,0,1:43.884
20,3,21,Glock,5,20.6,0.800,0,1:44.002
21,3,22,de la Rosa,5,22.0,1.400,0,1:44.588
22,3,23,Karthikeyan,5,22.4,0.400,0,1:44.343
23,3,24,Kovalainen,5,50.5,28.000,1,1:41.113
0,4,1,Vettel,5, , ,0,1:40.336
1,4,2,Hamilton,5,3.9,3.900,0,1:40.940
2,4,3,Grosjean,5,4.9,1.000,0,1:40.442
3,4,4,Webber,5,6.0,1.000,0,1:41.935
4,4,5,Alonso,5,7.0,1.000,0,1:41.158
5,4,6,Button,5,8.2,1.100,0,1:41.426
6,4,7,Massa,5,9.7,1.500,0,1:41.121
7,4,8,Raikkonen,5,10.2,0.400,0,1:41.042
8,4,9,Rosberg,5,11.5,1.200,0,1:41.354
9,4,10,Di Resta,5,12.5,1.000,0,1:41.460
10,4,11,Perez,5,13.5,0.900,0,1:42.467
11,4,12,Senna,5,14.1,0.600,0,1:42.185
12,4,13,Kobayashi,5,14.9,0.800,0,1:42.126
13,4,14,Vergne,5,15.5,0.500,0,1:42.123
14,4,15,Maldonado,5,16.0,0.400,0,1:41.970
15,4,16,Schumacher,5,16.7,0.600,0,1:42.008
16,4,17,Ricciardo,5,18.2,1.500,0,1:42.288
17,4,18,Petrov,5,19.0,0.700,0,1:42.475
18,4,19,Hulkenberg,5,19.4,0.400,0,1:42.517
19,4,20,Pic,5,23.0,3.500,0,1:43.595
20,4,21,Glock,5,24.1,1.100,0,1:43.868
21,4,22,de la Rosa,5,25.9,1.700,0,1:44.167
22,4,23,Karthikeyan,5,27.0,1.100,0,1:44.860
23,4,24,Kovalainen,5,51.6,24.500,1,1:41.373
0,5,1,Vettel,6, , ,0,1:40.457
1,5,2,Hamilton,6,4.5,4.500,0,1:41.060
2,5,3,Grosjean,6,5.1,0.600,0,1:40.662
3,5,4,Webber,6,6.5,1.300,0,1:40.974
4,5,5,Alonso,6,8.0,1.400,0,1:41.422
5,5,6,Button,6,9.2,1.100,0,1:41.418
6,5,7,Raikkonen,6,10.3,1.100,0,1:40.523
7,5,8,Massa,6,11.8,1.500,0,1:42.527
8,5,9,Rosberg,6,12.5,0.700,0,1:41.520
9,5,10,Di Resta,6,13.3,0.700,0,1:41.209
10,5,11,Perez,6,14.6,1.200,0,1:41.546
11,5,12,Senna,6,15.5,0.900,0,1:41.902
12,5,13,Kobayashi,6,16.4,0.800,0,1:41.928
13,5,14,Vergne,6,17.2,0.700,0,1:42.137
14,5,15,Maldonado,6,17.7,0.400,0,1:42.137
15,5,16,Schumacher,6,18.4,0.600,0,1:42.167
16,5,17,Ricciardo,6,20.2,1.800,0,1:42.408
17,5,18,Petrov,6,20.9,0.700,0,1:42.385
18,5,19,Hulkenberg,6,21.4,0.500,0,1:42.446
19,5,20,Pic,6,26.2,4.700,0,1:43.660
20,5,21,Glock,6,27.7,1.500,0,1:44.035
21,5,22,de la Rosa,6,29.9,2.200,0,1:44.492
22,5,23,Karthikeyan,6,31.4,1.500,0,1:44.909
23,5,24,Kovalainen,6,52.5,21.000,1,1:41.361
0,6,1,Vettel,6, , ,0,1:40.457
1,6,2,Hamilton,6,4.5,4.500,0,1:41.060
2,6,3,Grosjean,6,5.1,0.600,0,1:40.876
3,6,4,Webber,7,6.9,1.600,0,1:41.198
4,6,5,Alonso,7,8.7,1.700,0,1:41.441
5,6,6,Button,7,10.0,1.300,0,1:41.643
6,6,7,Raikkonen,7,10.5,0.400,0,1:40.988
7,6,8,Massa,7,12.6,2.100,0,1:41.621
8,6,9,Rosberg,7,13.5,0.800,0,1:41.754
9,6,10,Di Resta,7,14.1,0.500,0,1:41.568
10,6,11,Perez,7,15.6,1.500,0,1:41.844
11,6,12,Senna,7,17.0,1.300,0,1:42.168
12,6,13,Kobayashi,7,18.0,1.000,0,1:42.313
13,6,14,Vergne,7,19.1,1.000,0,1:42.613
14,6,15,Maldonado,7,19.1,0.000,0,1:42.166
15,6,16,Schumacher,7,19.8,0.700,0,1:42.227
16,6,17,Ricciardo,7,21.9,2.000,0,1:42.448
17,6,18,Petrov,7,22.8,0.900,0,1:42.661
18,6,19,Hulkenberg,7,23.3,0.400,0,1:42.653
19,6,20,Pic,7,29.2,5.800,0,1:43.810
20,6,21,Glock,7,31.0,1.700,0,1:44.020
21,6,22,de la Rosa,7,34.0,3.000,0,1:44.857
22,6,23,Karthikeyan,7,37.1,3.100,0,1:46.446
23,6,24,Kovalainen,7,53.5,16.300,1,1:41.771
0,7,1,Vettel,8, , ,0,1:40.794
1,7,2,Grosjean,8,4.9,4.900,0,1:40.412
2,7,3,Hamilton,8,6.3,1.400,0,1:42.264
3,7,4,Webber,8,7.5,1.100,0,1:41.346
4,7,5,Alonso,8,9.6,2.100,0,1:41.738
5,7,6,Raikkonen,8,10.4,0.700,0,1:40.670
6,7,7,Button,8,11.9,1.500,0,1:42.658
7,7,8,Massa,8,13.8,1.900,0,1:41.992
8,7,9,Rosberg,8,14.6,0.700,0,1:41.900
9,7,10,Di Resta,8,15.3,0.700,0,1:42.048
10,7,11,Perez,8,16.8,1.400,0,1:41.970
11,7,12,Senna,8,18.7,1.900,0,1:42.559
12,7,13,Kobayashi,8,19.5,0.800,0,1:42.365
13,7,14,Maldonado,8,20.8,1.200,0,1:42.518
14,7,15,Vergne,8,22.2,1.400,0,1:43.970
15,7,16,Schumacher,8,22.7,0.400,0,1:43.623
16,7,17,Petrov,8,24.8,2.100,0,1:42.769
17,7,18,Hulkenberg,8,25.5,0.600,0,1:42.941
18,7,19,Ricciardo,OUT,26.2,0.700,1,
19,7,20,Pic,8,32.3,6.000,0,1:43.839
20,7,21,Glock,8,34.8,2.500,0,1:44.628
21,7,22,de la Rosa,8,38.6,3.700,0,1:45.384
22,7,23,Karthikeyan,8,41.6,3.000,0,1:45.285
23,7,24,Kovalainen,8,54.5,12.800,1,1:41.775
0,8,1,Vettel,9, , ,0,1:40.723
1,8,2,Grosjean,9,4.9,4.900,0,1:40.757
2,8,3,Hamilton,9,7.7,2.700,0,1:42.123
3,8,4,Webber,9,8.5,0.700,0,1:41.717
4,8,5,Alonso,9,11.0,2.400,0,1:42.079
5,8,6,Raikkonen,9,11.1,0.100,0,1:41.491
6,8,7,Button,OUT,15.0,3.900,1,
7,8,8,Di Resta,9,16.8,1.700,0,1:42.180
8,8,9,Massa,OUT,17.6,0.800,1,
9,8,10,Rosberg,OUT,18.1,0.500,1,
10,8,11,Perez,9,18.2,0.000,0,1:42.115
11,8,12,Senna,9,20.5,2.200,0,1:42.491
12,8,13,Kobayashi,9,21.0,0.400,0,1:42.155
13,8,14,Maldonado,9,22.2,1.200,0,1:42.120
14,8,15,Schumacher,9,24.3,2.000,0,1:42.367
15,8,16,Vergne,9,25.2,0.900,0,1:43.714
16,8,17,Hulkenberg,9,26.9,1.700,0,1:42.198
17,8,18,Petrov,9,28.3,1.300,0,1:44.264
18,8,19,Pic,9,35.5,7.100,0,1:43.944
19,8,20,Glock,9,38.7,3.100,0,1:44.597
20,8,21,de la Rosa,9,42.7,4.000,0,1:44.820
21,8,22,Karthikeyan,9,47.2,4.400,0,1:46.312
22,8,23,Ricciardo,9,47.9,0.700,1,2:02.499
23,8,24,Kovalainen,9,55.6,7.600,1,1:41.888
0,9,1,Vettel,10, , ,0,1:40.936
1,9,2,Grosjean,10,4.7,4.700,0,1:40.763
2,9,3,Hamilton,OUT,11.0,6.300,1,
3,9,4,Raikkonen,10,11.2,0.100,0,1:41.022
4,9,5,Webber,OUT,12.2,0.900,1,
5,9,6,Alonso,OUT,15.0,2.800,1,
6,9,7,Di Resta,10,17.1,2.100,0,1:41.286
7,9,8,Kobayashi,10,22.5,5.300,0,1:42.418
8,9,9,Perez,OUT,22.8,0.300,1,
9,9,10,Maldonado,10,23.6,0.700,0,1:42.308
10,9,11,Senna,OUT,25.6,1.900,1,
11,9,12,Vergne,10,27.0,1.400,0,1:42.736
12,9,13,Schumacher,OUT,27.7,0.600,1,
13,9,14,Hulkenberg,OUT,30.6,2.800,1,
14,9,15,Petrov,10,31.0,0.400,0,1:43.581
15,9,16,Button,10,32.8,1.700,1,1:58.674
16,9,17,Rosberg,10,35.7,2.900,1,1:58.481
17,9,18,Massa,10,36.6,0.900,1,1:59.948
18,9,19,Pic,10,39.2,2.600,0,1:44.696
19,9,20,Glock,10,43.1,3.800,0,1:45.329
20,9,21,Ricciardo,10,48.5,5.400,1,1:41.532
21,9,22,de la Rosa,PIT,49.5,0.900,1,
22,9,23,Karthikeyan,10,53.4,3.800,0,1:47.123
23,9,24,Kovalainen,10,56.7,3.300,1,1:42.049
0,10,1,Vettel,11, , ,0,1:41.013
1,10,2,Grosjean,OUT,7.0,7.000,1,
2,10,3,Raikkonen,11,11.0,4.000,0,1:40.803
3,10,4,Di Resta,11,18.2,7.100,0,1:42.047
4,10,5,Kobayashi,11,23.1,4.900,0,1:41.663
5,10,6,Maldonado,11,24.3,1.200,0,1:41.745
6,10,7,Webber,11,30.2,5.800,1,1:59.073
7,10,8,Vergne,OUT,31.5,1.300,1,
8,10,9,Alonso,11,32.8,1.200,1,1:58.767
9,10,10,Button,11,34.2,1.400,1,1:42.424
10,10,11,Hamilton,11,35.1,0.800,1,2:05.022
11,10,12,Rosberg,11,36.1,1.000,1,1:41.435
12,10,13,Petrov,OUT,36.2,0.100,1,
13,10,14,Massa,11,36.7,0.400,1,1:41.116
14,10,15,Pic,11,41.6,4.800,0,1:43.411
15,10,16,Perez,11,42.4,0.800,1,2:00.633
16,10,17,Senna,11,46.2,3.700,1,2:01.584
17,10,18,Schumacher,11,46.7,0.500,1,2:00.085
18,10,19,Ricciardo,11,49.0,2.200,1,1:41.447
19,10,20,Hulkenberg,11,49.6,0.500,1,2:00.013
20,10,21,Glock,PIT,50.8,1.200,1,
21,10,22,Kovalainen,11,58.4,7.500,1,1:42.659
22,10,23,Karthikeyan,PIT,62.2,3.800,1,
23,10,24,de la Rosa,OUT,49.5,0.900,1,
0,11,1,Vettel,OUT, , ,1,
1,11,2,Raikkonen,OUT,10.8,10.800,1,
2,11,3,Di Resta,12,16.7,5.800,0,1:41.742
3,11,4,Kobayashi,12,21.6,4.900,0,1:41.759
4,11,5,Grosjean,12,23.0,1.400,1,1:59.338
5,11,6,Maldonado,OUT,24.9,1.800,1,
6,11,7,Webber,12,27.1,2.200,1,1:40.183
7,11,8,Alonso,12,30.1,2.900,1,1:40.605
8,11,9,Button,12,30.7,0.600,1,1:39.807
9,11,10,Hamilton,12,31.6,0.900,1,1:39.836
10,11,11,Rosberg,12,33.2,1.500,1,1:40.336
11,11,12,Massa,12,34.0,0.700,1,1:40.498
12,11,13,Perez,12,39.0,4.900,1,1:39.771
13,11,14,Pic,12,42.5,3.500,0,1:44.092
14,11,15,Schumacher,12,44.3,1.800,1,1:40.867
15,11,16,Senna,12,45.1,0.700,1,1:42.203
16,11,17,Hulkenberg,12,47.3,2.100,1,1:40.990
17,11,18,Ricciardo,12,48.0,0.700,1,1:42.280
18,11,19,Vergne,12,49.1,1.100,1,2:00.835
19,11,20,Petrov,12,53.3,4.200,1,2:00.344
20,11,21,Kovalainen,12,57.7,4.300,1,1:42.566
21,11,22,Glock,OUT,50.8,1.200,1,
22,11,23,Karthikeyan,OUT,62.2,3.800,1,
23,11,24,de la Rosa,12,71.4,9.100,1,2:02.952
0,12,1,Di Resta,13, , ,0,1:41.987
1,12,2,Vettel,13,0.2,0.200,1,1:58.967
2,12,3,Grosjean,13,4.5,4.200,1,1:40.131
3,12,4,Kobayashi,13,5.6,1.100,0,1:42.684
4,12,5,Webber,13,8.7,3.100,1,1:40.257
5,12,6,Raikkonen,13,9.4,0.600,1,1:57.311
6,12,7,Button,13,12.6,3.100,1,1:40.546
7,12,8,Alonso,13,13.4,0.700,1,1:41.974
8,12,9,Hamilton,13,13.8,0.400,1,1:40.866
9,12,10,Rosberg,13,15.1,1.200,1,1:40.605
10,12,11,Massa,13,16.0,0.900,1,1:40.757
11,12,12,Perez,13,20.3,4.200,1,1:40.031
12,12,13,Maldonado,13,25.2,4.800,1,1:58.962
13,12,14,Schumacher,13,26.5,1.200,1,1:40.805
14,12,15,Senna,13,28.7,2.200,1,1:42.329
15,12,16,Hulkenberg,13,29.3,0.600,1,1:40.752
16,12,17,Ricciardo,13,30.4,1.000,1,1:41.089
17,12,18,Vergne,13,31.3,0.800,1,1:40.853
18,12,19,Pic,PIT,31.5,0.100,1,
19,12,20,Petrov,13,35.4,3.900,1,1:40.801
20,12,21,Kovalainen,13,41.4,5.900,1,1:42.413
21,12,22,Glock,13,70.4,12.700,1,2:02.874
22,12,23,de la Rosa,13,71.4,0.900,1,1:43.228
23,12,24,Karthikeyan,13,85.2,13.700,1,2:06.220
0,13,1,Vettel,14, , ,1,1:39.275
1,13,2,Di Resta,14,3.0,3.000,0,1:42.638
2,13,3,Grosjean,14,4.7,1.600,1,1:39.768
3,13,4,Kobayashi,14,8.4,3.600,0,1:42.333
4,13,5,Raikkonen,14,9.3,0.900,1,1:39.461
5,13,6,Webber,14,10.1,0.800,1,1:40.979
6,13,7,Button,14,13.1,3.000,1,1:40.109
7,13,8,Alonso,14,14.6,1.400,1,1:40.789
8,13,9,Hamilton,14,15.0,0.400,1,1:40.766
9,13,10,Rosberg,14,16.1,1.100,1,1:40.594
10,13,11,Massa,14,17.2,1.000,1,1:40.685
11,13,12,Perez,14,21.0,3.800,1,1:40.281
12,13,13,Maldonado,14,25.6,4.500,1,1:39.977
13,13,14,Schumacher,14,27.1,1.400,1,1:40.172
14,13,15,Hulkenberg,14,30.5,3.400,1,1:40.682
15,13,16,Senna,14,31.4,0.800,1,1:42.170
16,13,17,Ricciardo,14,32.3,0.900,1,1:41.489
17,13,18,Vergne,14,33.1,0.700,1,1:41.418
18,13,19,Petrov,14,36.7,3.600,1,1:40.844
19,13,20,Kovalainen,PIT,47.0,10.200,2,
20,13,21,Pic,14,53.8,6.700,1,2:01.881
21,13,22,Glock,14,56.9,3.000,1,1:42.547
22,13,23,de la Rosa,14,59.3,2.400,1,1:43.109
23,13,24,Karthikeyan,14,69.4,13.600,1,1:42.900
0,14,1,Vettel,15, , ,1,1:39.700
1,14,2,Grosjean,15,5.4,5.400,1,1:40.392
2,14,3,Di Resta,OUT,8.1,2.600,1,
3,14,4,Raikkonen,15,8.7,0.600,1,1:39.088
4,14,5,Webber,15,11.5,2.800,1,1:41.068
5,14,6,Button,15,13.7,2.100,1,1:40.237
6,14,7,Kobayashi,OUT,15.1,1.400,1,
7,14,8,Hamilton,15,15.4,0.300,1,1:40.117
8,14,9,Alonso,15,16.7,1.200,1,1:41.794
9,14,10,Rosberg,15,17.4,0.600,1,1:40.924
10,14,11,Massa,15,18.3,0.900,1,1:40.801
11,14,12,Perez,15,21.9,3.600,1,1:40.570
12,14,13,Maldonado,15,25.8,3.800,1,1:39.876
13,14,14,Schumacher,15,27.7,1.900,1,1:40.364
14,14,15,Hulkenberg,15,31.4,3.600,1,1:40.584
15,14,16,Senna,15,32.9,1.500,1,1:41.223
16,14,17,Ricciardo,15,34.0,1.100,1,1:41.387
17,14,18,Vergne,15,34.5,0.400,1,1:41.060
18,14,19,Petrov,15,38.0,3.500,1,1:40.964
19,14,20,Pic,15,55.6,17.600,1,1:41.519
20,14,21,Glock,15,59.8,4.100,1,1:42.609
21,14,22,de la Rosa,15,63.3,3.500,1,1:43.684
22,14,23,Kovalainen,OUT,47.0,10.200,2,
23,14,24,Karthikeyan,15,72.8,13.400,1,1:42.976
0,15,1,Vettel,16, , ,1,1:39.531
1,15,2,Grosjean,16,5.2,5.200,1,1:39.390
2,15,3,Raikkonen,16,8.2,2.900,1,1:38.995
3,15,4,Webber,16,12.4,4.200,1,1:40.405
4,15,5,Button,16,14.5,2.100,1,1:40.361
5,15,6,Hamilton,16,16.1,1.600,1,1:40.203
6,15,7,Alonso,16,18.1,2.000,1,1:40.933
7,15,8,Rosberg,16,19.1,0.900,1,1:41.263
8,15,9,Massa,16,19.8,0.700,1,1:41.083
9,15,10,Perez,16,22.9,3.000,1,1:40.505
10,15,11,Maldonado,16,26.3,3.400,1,1:40.029
11,15,12,Di Resta,16,27.2,0.900,1,1:58.669
12,15,13,Schumacher,16,28.8,1.600,1,1:40.617
13,15,14,Hulkenberg,16,32.6,3.700,1,1:40.775
14,15,15,Senna,16,34.1,1.500,1,1:40.789
15,15,16,Kobayashi,16,34.8,0.600,1,1:59.216
16,15,17,Vergne,16,36.5,1.700,1,1:41.574
17,15,18,Ricciardo,16,38.9,2.300,1,1:44.399
18,15,19,Petrov,16,39.9,0.900,1,1:41.416
19,15,20,Pic,16,58.2,18.200,1,1:42.103
20,15,21,Glock,16,63.1,4.900,1,1:42.845
21,15,22,de la Rosa,16,67.7,4.600,1,1:43.908
22,15,23,Kovalainen,16,68.3,0.600,2,1:40.664
23,15,24,Karthikeyan,16,76.1,8.900,1,1:42.975
0,16,1,Vettel,16, , ,1,1:39.531
1,16,2,Grosjean,16,5.2,5.200,1,1:39.390
2,16,3,Raikkonen,16,8.2,2.900,1,1:38.995
3,16,4,Webber,16,12.4,4.200,1,1:40.405
4,16,5,Button,16,14.5,2.100,1,1:40.382
5,16,6,Hamilton,17,16.8,1.500,1,1:40.360
6,16,7,Alonso,17,19.2,2.400,1,1:40.784
7,16,8,Rosberg,17,20.4,1.200,1,1:41.037
8,16,9,Massa,17,21.3,0.800,1,1:41.189
9,16,10,Perez,17,23.6,2.300,1,1:40.455
10,16,11,Maldonado,17,26.7,3.000,1,1:40.108
11,16,12,Di Resta,17,27.4,0.700,1,1:39.940
12,16,13,Schumacher,17,29.4,1.900,1,1:40.250
13,16,14,Hulkenberg,17,33.7,4.300,1,1:40.828
14,16,15,Senna,17,35.4,1.600,1,1:40.962
15,16,16,Kobayashi,17,35.8,0.300,1,1:40.685
16,16,17,Vergne,17,38.2,2.300,1,1:41.336
17,16,18,Ricciardo,17,41.1,2.900,1,1:41.957
18,16,19,Petrov,17,41.9,0.700,1,1:41.724
19,16,20,Pic,17,60.3,18.400,1,1:41.835
20,16,21,Glock,17,63.1,4.900,1,1:42.845
21,16,22,de la Rosa,17,67.7,4.600,1,1:43.908
22,16,23,Kovalainen,17,68.3,0.600,2,1:40.664
23,16,24,Karthikeyan,17,79.7,11.300,1,1:43.136
0,17,1,Vettel,18, , ,1,1:39.656
1,17,2,Grosjean,18,5.2,5.200,1,1:39.854
2,17,3,Raikkonen,18,7.4,2.200,1,1:39.404
3,17,4,Webber,18,13.5,6.000,1,1:40.308
4,17,5,Button,18,16.0,2.400,1,1:40.438
5,17,6,Hamilton,18,17.5,1.500,1,1:40.423
6,17,7,Alonso,18,20.4,2.800,1,1:40.865
7,17,8,Rosberg,18,21.8,1.400,1,1:41.080
8,17,9,Massa,18,23.1,1.200,1,1:41.461
9,17,10,Perez,18,24.6,1.500,1,1:40.672
10,17,11,Maldonado,18,27.3,2.600,1,1:40.243
11,17,12,Di Resta,18,28.0,0.700,1,1:40.209
12,17,13,Schumacher,18,30.3,2.300,1,1:40.611
13,17,14,Hulkenberg,18,34.9,4.600,1,1:40.862
14,17,15,Kobayashi,18,36.3,1.400,1,1:40.219
15,17,16,Senna,18,38.1,1.700,1,1:42.336
16,17,17,Vergne,18,40.0,1.900,1,1:41.516
17,17,18,Ricciardo,18,42.9,2.900,1,1:41.462
18,17,19,Petrov,18,43.5,0.500,1,1:41.282
19,17,20,Pic,18,62.4,18.800,1,1:41.720
20,17,21,Glock,18,66.6,6.200,1,1:43.184
21,17,22,Kovalainen,18,69.7,3.100,2,1:41.103
22,17,23,de la Rosa,18,72.3,2.600,1,1:44.321
23,17,24,Karthikeyan,18,83.8,11.400,1,1:43.801
0,18,1,Vettel,19, , ,1,1:39.591
1,18,2,Grosjean,19,5.1,5.100,1,1:39.469
2,18,3,Raikkonen,19,7.2,2.100,1,1:39.346
3,18,4,Webber,19,14.2,7.000,1,1:40.355
4,18,5,Button,19,16.7,2.400,1,1:40.368
5,18,6,Hamilton,19,18.4,1.700,1,1:40.506
6,18,7,Alonso,19,21.6,3.100,1,1:40.819
7,18,8,Rosberg,19,23.2,1.500,1,1:40.977
8,18,9,Massa,19,24.8,1.600,1,1:41.306
9,18,10,Perez,19,26.3,1.400,1,1:41.246
10,18,11,Maldonado,19,28.1,1.800,1,1:40.436
11,18,12,Di Resta,19,28.8,0.700,1,1:40.429
