,snap_num,pos,nick,lap,gap,int,pits,t
0,3,1,Hamilton,4, , ,0,1:21.979
1,3,2,Button,4,0.9,0.900,0,1:22.072
2,3,3,Alonso,4,2.4,1.500,0,1:22.140
3,3,4,Hulkenberg,4,3.3,0.900,0,1:22.467
4,3,5,Webber,4,4.1,0.700,0,1:23.121
5,3,6,Massa,4,4.3,0.200,0,1:22.355
6,3,7,Di Resta,4,5.0,0.600,0,1:22.312
7,3,8,Raikkonen,4,6.0,1.000,0,1:22.072
8,3,9,Kobayashi,4,6.6,0.500,0,1:21.952
9,3,10,Rosberg,4,7.4,0.700,0,1:22.527
10,3,11,Schumacher,4,8.4,1.000,0,1:22.590
11,3,12,Ricciardo,4,8.6,0.100,0,1:22.548
12,3,13,Petrov,4,9.6,1.000,0,1:22.515
13,3,14,Grosjean,4,9.7,0.000,0,1:22.286
14,3,15,Kovalainen,4,11.2,1.500,0,1:22.662
15,3,16,Glock,4,11.4,0.200,0,1:22.586
16,3,17,Vergne,4,11.6,0.100,0,1:22.584
17,3,18,Vettel,4,12.5,0.900,0,1:21.742
18,3,19,de la Rosa,4,13.4,0.800,0,1:23.103
19,3,20,Pic,4,14.0,0.600,0,1:23.306
20,3,21,Karthikeyan,4,17.7,3.600,0,1:23.479
21,3,22,Maldonado,×,2L, ,0,
22,3,23,Senna,×,3L, ,0,
23,3,24,Perez,×,3L, ,0,
0,4,1,Hamilton,5, , ,0,1:22.868
1,4,2,Button,5,1.0,1.000,0,1:22.984
2,4,3,Alonso,5,3.2,2.200,0,1:23.730
3,4,4,Hulkenberg,5,3.7,0.400,0,1:23.256
4,4,5,Webber,5,4.7,0.900,0,1:23.438
5,4,6,Massa,5,5.2,0.400,0,1:23.724
6,4,7,Di Resta,5,5.8,0.600,0,1:23.649
7,4,8,Raikkonen,5,6.6,0.800,0,1:23.450
8,4,9,Kobayashi,5,7.0,0.300,0,1:23.287
9,4,10,Rosberg,5,8.0,1.000,0,1:23.492
10,4,11,Schumacher,5,8.9,0.800,0,1:23.298
11,4,12,Ricciardo,5,9.0,0.100,0,1:23.361
12,4,13,Petrov,5,10.3,1.300,0,1:23.638
13,4,14,Grosjean,5,10.4,0.000,0,1:23.579
14,4,15,Kovalainen,5,12.0,1.600,0,1:23.714
15,4,16,Vettel,5,12.2,0.200,0,1:22.554
16,4,17,Vergne,5,13.3,1.000,0,1:24.576
17,4,18,Glock,5,13.4,0.000,0,1:24.780
18,4,19,de la Rosa,5,14.1,0.600,0,1:23.574
19,4,20,Pic,5,14.6,0.500,0,1:23.418
20,4,21,Karthikeyan,5,17.9,3.300,0,1:23.092
21,4,22,Maldonado,×,3L, ,0,
22,4,23,Senna,×,4L, ,0,
23,4,24,Perez,×,4L, ,0,
0,5,1,Hamilton,5, , ,0,1:22.868
1,5,2,Button,5,1.0,1.000,0,1:22.984
2,5,3,Alonso,5,3.2,2.200,0,1:23.730
3,5,4,Hulkenberg,5,3.7,0.400,0,1:23.256
4,5,5,Webber,5,4.7,0.900,0,1:23.438
5,5,6,Massa,5,5.2,0.400,0,1:23.724
6,5,7,Di Resta,5,5.8,0.600,0,1:23.649
7,5,8,Raikkonen,5,6.6,0.800,0,1:23.450
8,5,9,Kobayashi,5,7.0,0.300,0,1:23.287
9,5,10,Rosberg,5,8.0,1.000,0,1:23.492
10,5,11,Schumacher,5,8.9,0.800,0,1:23.298
11,5,12,Ricciardo,5,9.0,0.100,0,1:23.361
12,5,13,Petrov,5,10.3,1.300,0,1:23.638
13,5,14,Grosjean,5,10.4,0.000,0,1:23.579
14,5,15,Kovalainen,5,12.0,1.600,0,1:23.714
15,5,16,Vettel,5,12.2,0.200,0,1:22.554
16,5,17,Vergne,5,13.3,1.000,0,1:24.576
17,5,18,Glock,5,13.4,0.000,0,1:24.780
18,5,19,de la Rosa,5,14.1,0.600,0,1:23.574
19,5,20,Pic,5,17.7,1.200,0,1:23.346
20,5,21,Schumacher,OUT,28.3,10.500,1,
21,5,22,Maldonado,×,4L, ,0,
22,5,23,Senna,×,5L, ,0,
23,5,24,Perez,×,5L, ,0,
0,6,1,Hamilton,6, , ,0,1:23.543
1,6,2,Button,6,0.6,0.600,0,1:23.155
2,6,3,Hulkenberg,6,3.6,2.900,0,1:23.384
3,6,4,Alonso,6,5.8,2.200,0,1:26.146
4,6,5,Webber,6,6.5,0.600,0,1:25.329
5,6,6,Massa,6,6.7,0.200,0,1:25.079
6,6,7,Di Resta,6,7.0,0.200,0,1:24.745
7,6,8,Kobayashi,6,7.6,0.500,0,1:24.124
8,6,9,Rosberg,6,8.4,0.800,0,1:23.954
9,6,10,Ricciardo,7,9.7,0.800,0,1:26.715
