,snap_num,pos,nick,lap,gap,int,pits,t
0,3,1,Vettel,4, , ,0,1:45.584
1,3,2,Hamilton,4,5.3,5.300,0,1:46.968
2,3,3,Grosjean,4,6.0,0.600,0,1:47.167
3,3,4,Kobayashi,4,6.4,0.400,0,1:46.963
4,3,5,Maldonado,4,7.6,1.200,0,1:46.786
5,3,6,Raikkonen,4,8.7,1.000,0,1:46.806
6,3,7,Hulkenberg,4,9.8,1.000,0,1:47.697
7,3,8,Alonso,4,10.3,0.500,0,1:47.268
8,3,9,Di Resta,4,11.5,1.100,0,1:47.519
9,3,10,Massa,4,11.8,0.300,0,1:47.390
10,3,11,Rosberg,4,13.3,1.400,0,1:47.736
11,3,12,Button,4,14.2,0.900,0,1:47.235
12,3,13,Schumacher,4,14.9,0.600,0,1:48.651
13,3,14,Senna,4,16.8,1.900,0,1:48.177
14,3,15,Perez,4,17.1,0.200,0,1:47.769
15,3,16,Ricciardo,4,17.8,0.600,0,1:47.891
16,3,17,Webber,4,18.6,0.800,0,1:48.116
17,3,18,Kovalainen,4,19.5,0.800,0,1:48.577
18,3,19,Petrov,4,20.3,0.700,0,1:48.923
19,3,20,Vergne,4,21.5,1.200,0,1:49.512
20,3,21,de la Rosa,4,22.3,0.800,0,1:49.390
21,3,22,Karthikeyan,4,24.2,1.900,0,1:50.461
22,3,23,Pic,4,25.5,1.200,0,1:50.859
0,4,1,Vettel,5, , ,0,1:45.602
1,4,2,Hamilton,5,6.8,6.800,0,1:47.052
2,4,3,Grosjean,5,7.3,0.500,0,1:46.998
3,4,4,Kobayashi,5,7.9,0.500,0,1:47.148
4,4,5,Maldonado,5,8.6,0.600,0,1:46.534
5,4,6,Raikkonen,5,9.4,0.800,0,1:46.290
6,4,7,Hulkenberg,5,10.7,1.300,0,1:46.582
7,4,8,Alonso,5,11.7,0.900,0,1:46.973
8,4,9,Di Resta,5,13.2,1.500,0,1:47.344
9,4,10,Massa,5,13.8,0.600,0,1:47.612
10,4,11,Rosberg,5,14.8,0.900,0,1:47.176
11,4,12,Button,5,15.4,0.600,0,1:46.804
12,4,13,Schumacher,5,16.5,1.000,0,1:47.167
13,4,14,Senna,5,18.7,2.100,0,1:47.433
14,4,15,Perez,5,19.1,0.400,0,1:47.574
15,4,16,Ricciardo,5,19.8,0.700,0,1:47.663
16,4,17,Webber,5,20.8,0.900,0,1:47.803
17,4,18,Kovalainen,5,21.6,0.700,0,1:47.721
18,4,19,Petrov,5,22.7,1.000,0,1:48.019
19,4,20,Vergne,5,24.6,1.900,0,1:48.768
20,4,21,de la Rosa,5,26.0,1.400,0,1:49.352
21,4,22,Karthikeyan,5,28.3,2.200,0,1:49.623
22,4,23,Pic,5,29.5,1.200,0,1:49.612
0,5,1,Vettel,6, , ,0,1:45.409
1,5,2,Hamilton,6,7.6,7.600,0,1:46.186
2,5,3,Grosjean,6,8.2,0.500,0,1:46.217
3,5,4,Kobayashi,6,9.0,0.800,0,1:46.438
4,5,5,Maldonado,6,10.2,1.200,0,1:47.035
5,5,6,Raikkonen,6,10.8,0.600,0,1:46.821
6,5,7,Hulkenberg,6,12.1,1.200,0,1:46.717
7,5,8,Alonso,6,13.2,1.100,0,1:46.925
8,5,9,Di Resta,6,15.0,1.800,0,1:47.242
9,5,10,Massa,6,15.5,0.400,0,1:47.085
10,5,11,Rosberg,6,17.0,1.400,0,1:47.547
11,5,12,Button,6,17.4,0.400,0,1:47.403
12,5,13,Schumacher,6,18.7,1.200,0,1:47.616
13,5,14,Senna,6,20.8,2.100,0,1:47.575
14,5,15,Perez,6,21.2,0.400,0,1:47.546
15,5,16,Ricciardo,6,21.9,0.700,0,1:47.501
16,5,17,Webber,6,22.8,0.800,0,1:47.403
17,5,18,Kovalainen,6,24.2,1.300,0,1:47.968
18,5,19,Petrov,6,25.3,1.100,0,1:48.060
19,5,20,Vergne,6,27.4,2.000,0,1:48.179
20,5,21,de la Rosa,6,29.9,2.400,0,1:49.233
21,5,22,Karthikeyan,6,32.4,2.500,0,1:49.514
22,5,23,Pic,6,33.7,1.200,0,1:49.592
0,6,1,Vettel,7, , ,0,1:45.168
1,6,2,Hamilton,7,8.5,8.500,0,1:46.063
2,6,3,Grosjean,7,9.1,0.600,0,1:46.125
3,6,4,Kobayashi,7,10.1,0.900,0,1:46.280
4,6,5,Maldonado,7,11.5,1.300,0,1:46.452
5,6,6,Raikkonen,7,12.2,0.600,0,1:46.541
6,6,7,Hulkenberg,7,13.6,1.400,0,1:46.683
7,6,8,Alonso,7,14.9,1.300,0,1:46.907
8,6,9,Di Resta,7,17.0,2.000,0,1:47.165
9,6,10,Massa,7,17.6,0.500,0,1:47.271
10,6,11,Rosberg,7,19.1,1.400,0,1:47.265
11,6,12,Button,7,19.6,0.500,0,1:47.369
12,6,13,Schumacher,7,20.8,1.100,0,1:47.331
13,6,14,Senna,7,22.7,1.800,0,1:47.033
14,6,15,Perez,7,23.2,0.400,0,1:47.110
15,6,16,Ricciardo,7,24.0,0.800,0,1:47.212
16,6,17,Webber,7,25.1,1.000,0,1:47.403
17,6,18,Kovalainen,7,26.8,1.700,0,1:47.781
18,6,19,Petrov,7,27.6,0.800,0,1:47.482
19,6,20,Vergne,7,30.0,2.300,0,1:47.730
20,6,21,de la Rosa,7,33.7,3.700,0,1:49.021
21,6,22,Karthikeyan,7,37.3,3.600,0,1:50.128
22,6,23,Pic,7,38.0,0.700,0,1:49.560
0,7,1,Vettel,8, , ,0,1:45.412
1,7,2,Hamilton,8,9.2,9.200,0,1:46.106
2,7,3,Grosjean,8,9.8,0.600,0,1:46.140
3,7,4,Kobayashi,8,11.0,1.100,0,1:46.351
4,7,5,Maldonado,8,12.4,1.300,0,1:46.295
5,7,6,Raikkonen,8,13.0,0.600,0,1:46.287
6,7,7,Hulkenberg,8,15.3,2.200,0,1:47.128
7,7,8,Alonso,8,16.3,0.900,0,1:46.726
8,7,9,Di Resta,8,18.9,2.600,0,1:47.253
9,7,10,Massa,8,19.7,0.800,0,1:47.516
10,7,11,Rosberg,8,20.8,1.100,0,1:47.175
11,7,12,Button,8,21.6,0.700,0,1:47.348
12,7,13,Schumacher,8,22.7,1.100,0,1:47.285
13,7,14,Senna,8,24.7,1.900,0,1:47.378
14,7,15,Perez,8,25.0,0.300,0,1:47.230
15,7,16,Ricciardo,8,25.7,0.600,0,1:47.104
16,7,17,Webber,8,26.7,1.000,0,1:47.048
17,7,18,Kovalainen,8,29.3,2.600,0,1:47.970
18,7,19,Petrov,8,30.0,0.600,0,1:47.745
19,7,20,Vergne,8,32.2,2.200,0,1:47.654
20,7,21,de la Rosa,8,37.4,5.200,0,1:49.126
21,7,22,Karthikeyan,8,41.3,3.800,0,1:49.389
22,7,23,Pic,8,42.0,0.600,0,1:49.335
0,8,1,Vettel,9, , ,0,1:45.341
1,8,2,Hamilton,9,9.6,9.600,0,1:45.830
2,8,3,Grosjean,9,10.5,0.800,0,1:45.978
3,8,4,Kobayashi,9,11.8,1.300,0,1:46.169
4,8,5,Maldonado,9,13.2,1.400,0,1:46.227
5,8,6,Raikkonen,9,14.3,1.000,0,1:46.556
6,8,7,Hulkenberg,9,16.6,2.300,0,1:46.692
7,8,8,Alonso,9,17.5,0.800,0,1:46.583
8,8,9,Di Resta,9,20.4,2.800,0,1:46.840
9,8,10,Massa,9,21.2,0.800,0,1:46.799
10,8,11,Rosberg,9,22.6,1.300,0,1:47.062
11,8,12,Button,9,23.6,1.000,0,1:47.348
12,8,13,Schumacher,9,24.6,1.000,0,1:47.232
13,8,14,Senna,9,26.9,2.200,0,1:47.540
14,8,15,Perez,9,27.4,0.500,0,1:47.759
15,8,16,Ricciardo,9,28.1,0.600,0,1:47.752
16,8,17,Webber,9,29.1,0.900,0,1:47.725
17,8,18,Kovalainen,9,31.8,2.700,0,1:47.848
18,8,19,Petrov,9,32.5,0.600,0,1:47.894
19,8,20,Vergne,9,34.7,2.100,0,1:47.796
20,8,21,de la Rosa,9,41.3,6.600,0,1:49.179
21,8,22,Karthikeyan,9,47.0,5.700,0,1:51.020
22,8,23,Pic,9,42.0,0.600,0,1:49.335
0,9,1,Vettel,10, , ,0,1:45.856
1,9,2,Hamilton,10,10.1,10.100,0,1:46.278
2,9,3,Grosjean,10,10.5,0.400,0,1:45.891
3,9,4,Kobayashi,10,12.3,1.700,0,1:46.294
4,9,5,Maldonado,10,13.6,1.300,0,1:46.257
5,9,6,Raikkonen,10,14.3,0.600,0,1:45.894
6,9,7,Hulkenberg,10,17.5,3.200,0,1:46.764
7,9,8,Alonso,10,18.1,0.500,0,1:46.492
8,9,9,Di Resta,10,21.3,3.200,0,1:46.820
