,snap_num,pos,nick,lap,gap,int,pits,t
0,3,1,Alonso,10, , ,0,1:22.546
1,3,2,Vettel,10,1.1,1.100,0,1:22.613
2,3,3,Schumacher,10,5.9,4.700,0,1:22.916
3,3,4,Button,10,6.8,0.900,0,1:22.604
4,3,5,Hulkenberg,10,8.6,1.700,0,1:23.128
5,3,6,Maldonado,10,9.2,0.600,0,1:23.330
6,3,7,Webber,10,10.0,0.700,0,1:23.297
7,3,8,Raikkonen,10,10.9,0.900,0,1:22.712
8,3,9,Perez,10,14.1,3.100,0,1:22.447
9,3,10,Di Resta,10,15.5,1.400,0,1:24.332
10,3,11,Kobayashi,10,15.9,0.300,0,1:23.291
11,3,12,Rosberg,10,18.7,2.800,0,1:23.315
12,3,13,Ricciardo,10,20.0,1.200,0,1:23.431
13,3,14,Petrov,10,23.1,3.100,0,1:23.993
14,3,15,Kovalainen,10,24.2,1.000,0,1:23.588
15,3,16,Pic,10,32.6,8.300,0,1:25.002
16,3,17,Glock,10,35.6,2.900,0,1:25.630
17,3,18,Vergne,10,36.6,1.000,1,1:23.185
18,3,19,de la Rosa,10,39.2,2.500,0,1:26.036
19,3,20,Massa,10,39.5,0.300,1,1:23.558
20,3,21,Karthikeyan,10,42.4,2.800,0,1:26.519
21,3,22,Hamilton,10,65.0,26.500,1,1:22.306
22,3,23,Grosjean,10,72.1,7.100,1,1:23.466
23,3,24,Senna,10,78.8,6.700,1,1:22.602
0,4,1,Alonso,10, , ,0,1:22.546
1,4,2,Vettel,10,1.1,1.100,0,1:22.613
2,4,3,Schumacher,10,5.9,4.700,0,1:22.916
3,4,4,Button,10,6.8,0.900,0,1:22.604
4,4,5,Hulkenberg,10,8.6,1.700,0,1:23.128
5,4,6,Maldonado,10,9.2,0.600,0,1:23.330
6,4,7,Webber,10,10.0,0.700,0,1:23.297
7,4,8,Raikkonen,10,10.9,0.900,0,1:22.712
8,4,9,Perez,10,14.1,3.100,0,1:22.447
9,4,10,Di Resta,10,15.5,1.400,0,1:24.332
10,4,11,Kobayashi,10,15.9,0.300,0,1:23.291
11,4,12,Rosberg,10,18.7,2.800,0,1:23.315
12,4,13,Ricciardo,10,20.0,1.200,0,1:23.431
13,4,14,Petrov,10,23.1,3.100,0,1:23.993
14,4,15,Kovalainen,10,24.2,1.000,0,1:23.588
15,4,16,Pic,10,32.6,8.300,0,1:25.002
16,4,17,Glock,10,35.6,2.900,0,1:25.630
17,4,18,Vergne,10,36.6,1.000,1,1:23.185
18,4,19,de la Rosa,10,39.2,2.500,0,1:26.036
19,4,20,Massa,10,39.5,0.300,1,1:23.558
20,4,21,Karthikeyan,10,42.4,2.800,0,1:26.519
21,4,22,Hamilton,10,65.0,26.500,1,1:22.306
22,4,23,Grosjean,10,72.1,7.100,1,1:23.466
23,4,24,Senna,10,78.8,6.700,1,1:22.602
0,5,1,Alonso,10, , ,0,1:22.546
1,5,2,Vettel,10,1.1,1.100,0,1:22.613
2,5,3,Schumacher,10,5.9,4.700,0,1:22.916
3,5,4,Button,10,6.8,0.900,0,1:22.604
4,5,5,Hulkenberg,10,8.6,1.700,0,1:23.128
5,5,6,Maldonado,10,9.2,0.600,0,1:23.330
6,5,7,Webber,10,10.0,0.700,0,1:23.297
7,5,8,Raikkonen,10,10.9,0.900,0,1:22.712
8,5,9,Perez,10,14.1,3.100,0,1:22.447
9,5,10,Di Resta,10,15.5,1.400,0,1:24.332
10,5,11,Kobayashi,10,15.9,0.300,0,1:23.291
11,5,12,Rosberg,10,18.7,2.800,0,1:23.315
12,5,13,Ricciardo,10,20.0,1.200,0,1:23.431
13,5,14,Petrov,10,23.1,3.100,0,1:23.993
14,5,15,Kovalainen,10,24.2,1.000,0,1:23.588
15,5,16,Pic,10,32.6,8.300,0,1:25.002
16,5,17,Glock,10,35.6,2.900,0,1:25.630
17,5,18,Vergne,10,36.6,1.000,1,1:23.185
18,5,19,de la Rosa,10,39.2,2.500,0,1:26.036
19,5,20,Massa,10,39.5,0.300,1,1:23.558
20,5,21,Karthikeyan,10,42.4,2.800,0,1:26.519
21,5,22,Hamilton,10,65.0,26.500,1,1:22.306
22,5,23,Grosjean,10,72.1,7.100,1,1:23.466
23,5,24,Senna,10,78.8,6.700,1,1:22.602
0,6,1,Alonso,10, , ,0,1:22.546
1,6,2,Vettel,10,1.1,1.100,0,1:22.613
2,6,3,Schumacher,10,5.9,4.700,0,1:22.916
3,6,4,Button,10,6.8,0.900,0,1:22.604
4,6,5,Hulkenberg,10,8.6,1.700,0,1:23.128
