,snap_num,pos,nick,lap,gap,int,pits,t
0,3,1,Hamilton,6, , ,0,1:28.471
1,3,2,Grosjean,6,2.2,2.200,0,1:28.529
2,3,3,Button,6,4.0,1.700,0,1:28.781
3,3,4,Vettel,6,4.9,0.800,0,1:28.718
4,3,5,Alonso,6,7.5,2.500,0,1:29.352
5,3,6,Raikkonen,6,8.4,0.900,0,1:29.660
6,3,7,Webber,6,9.4,0.900,0,1:29.365
7,3,8,Senna,6,10.3,0.800,0,1:29.486
8,3,9,Massa,6,10.9,0.600,0,1:29.277
9,3,10,Hulkenberg,6,12.6,1.600,0,1:29.720
10,3,11,Rosberg,6,13.5,0.900,0,1:29.916
11,3,12,Maldonado,6,14.3,0.800,0,1:29.943
12,3,13,Perez,6,15.1,0.700,0,1:30.007
13,3,14,Di Resta,6,17.4,2.200,0,1:30.523
14,3,15,Ricciardo,6,18.2,0.800,0,1:30.520
15,3,16,Vergne,6,18.9,0.600,0,1:30.544
16,3,17,Kovalainen,6,19.7,0.800,0,1:30.535
17,3,18,Petrov,6,18.7,1.000,0,1:31.119
18,3,19,Kobayashi,6,19.3,0.600,0,1:30.753
19,3,20,Pic,6,22.8,3.500,0,1:31.868
20,3,21,de la Rosa,6,27.4,4.600,0,1:32.609
21,3,22,Karthikeyan,6,28.2,0.700,0,1:32.835
22,3,23,Glock,6,32.9,4.600,0,1:31.596
23,3,24,Schumacher,OUT,41.8,8.900,2,
0,4,1,Hamilton,7, , ,0,1:28.314
1,4,2,Grosjean,7,2.2,2.200,0,1:28.301
2,4,3,Button,7,4.1,1.900,0,1:28.454
3,4,4,Vettel,7,5.4,1.300,0,1:28.860
4,4,5,Alonso,7,8.1,2.600,0,1:28.952
5,4,6,Raikkonen,7,8.9,0.800,0,1:28.834
6,4,7,Webber,7,10.0,1.000,0,1:28.962
7,4,8,Senna,7,11.0,1.000,0,1:29.079
8,4,9,Massa,7,10.9,0.600,0,1:29.277
9,4,10,Hulkenberg,7,12.6,1.600,0,1:29.720
10,4,11,Rosberg,7,13.5,0.900,0,1:29.916
11,4,12,Maldonado,7,14.3,0.800,0,1:29.943
12,4,13,Perez,7,15.1,0.700,0,1:30.007
13,4,14,Di Resta,7,17.4,2.200,0,1:30.523
14,4,15,Ricciardo,7,18.2,0.800,0,1:30.520
15,4,16,Vergne,7,18.9,0.600,0,1:30.544
16,4,17,Kovalainen,7,19.7,0.800,0,1:30.535
17,4,18,Petrov,7,20.8,1.000,0,1:30.542
18,4,19,Kobayashi,7,21.6,0.800,0,1:30.796
19,4,20,Pic,7,26.0,4.300,0,1:31.632
20,4,21,de la Rosa,7,31.4,5.400,0,1:32.453
21,4,22,Karthikeyan,7,32.0,0.600,0,1:32.291
22,4,23,Glock,7,36.1,4.000,0,1:31.659
23,4,24,Schumacher,7,52.4,16.300,2,1:39.086
0,5,1,Hamilton,8, , ,0,1:27.874
1,5,2,Grosjean,8,2.3,2.300,0,1:27.968
2,5,3,Button,8,4.8,2.500,0,1:28.572
3,5,4,Vettel,8,6.2,1.300,0,1:28.664
4,5,5,Alonso,8,9.1,2.800,0,1:28.840
5,5,6,Raikkonen,8,9.8,0.700,0,1:28.708
6,5,7,Webber,8,10.0,1.000,0,1:28.962
7,5,8,Senna,8,11.0,1.000,0,1:29.079
8,5,9,Massa,8,11.7,0.600,0,1:29.103
9,5,10,Hulkenberg,8,13.4,1.700,0,1:29.142
10,5,11,Rosberg,8,14.3,0.900,0,1:29.087
11,5,12,Maldonado,8,15.5,1.100,0,1:29.467
12,5,13,Perez,8,16.2,0.600,0,1:29.351
13,5,14,Di Resta,8,18.6,2.400,0,1:29.599
14,5,15,Ricciardo,8,19.9,1.200,0,1:29.968
15,5,16,Vergne,8,21.0,1.100,0,1:30.426
16,5,17,Kovalainen,8,21.7,0.700,0,1:30.333
17,5,18,Petrov,8,22.6,0.900,0,1:30.196
18,5,19,Kobayashi,8,23.5,0.800,0,1:30.158
19,5,20,Pic,8,29.0,5.500,0,1:31.327
20,5,21,de la Rosa,8,34.9,5.800,0,1:31.771
21,5,22,Karthikeyan,8,36.3,1.400,0,1:32.569
22,5,23,Glock,8,39.7,3.300,0,1:31.928
23,5,24,Schumacher,8,53.7,14.000,2,1:29.648
0,6,1,Hamilton,9, , ,0,1:28.194
1,6,2,Grosjean,9,2.1,2.100,0,1:27.992
2,6,3,Button,9,5.0,2.800,0,1:28.356
3,6,4,Vettel,9,6.6,1.600,0,1:28.565
4,6,5,Alonso,9,9.5,2.800,0,1:28.614
5,6,6,Raikkonen,9,10.1,0.500,0,1:28.504
6,6,7,Webber,9,11.4,1.300,0,1:28.668
7,6,8,Senna,9,12.7,1.200,0,1:28.578
8,6,9,Massa,9,13.7,0.900,0,1:28.796
9,6,10,Hulkenberg,9,14.9,1.800,0,1:29.377
10,6,11,Rosberg,9,15.8,0.800,0,1:29.350
11,6,12,Maldonado,9,17.0,1.100,0,1:29.338
12,6,13,Perez,9,17.9,0.900,0,1:29.637
13,6,14,Di Resta,9,20.1,2.100,0,1:29.321
14,6,15,Ricciardo,9,21.9,1.800,0,1:29.926
15,6,16,Vergne,9,23.1,1.200,0,1:30.005
16,6,17,Kovalainen,9,24.2,1.000,0,1:30.386
17,6,18,Petrov,9,25.3,1.000,0,1:30.526
18,6,19,Kobayashi,9,26.1,0.700,0,1:30.455
19,6,20,Pic,9,32.2,6.100,0,1:31.055
20,6,21,de la Rosa,9,39.0,6.800,0,1:31.972
21,6,22,Karthikeyan,9,41.1,2.100,0,1:32.709
22,6,23,Glock,9,43.7,2.500,0,1:31.873
23,6,24,Schumacher,9,55.5,11.800,2,1:29.602
0,7,1,Hamilton,10, , ,0,1:28.031
1,7,2,Grosjean,10,2.1,2.100,0,1:28.047
2,7,3,Button,10,5.4,3.200,0,1:28.439
3,7,4,Vettel,10,6.6,1.600,0,1:28.565
4,7,5,Alonso,10,9.5,2.800,0,1:28.614
5,7,6,Raikkonen,10,10.1,0.500,0,1:28.504
6,7,7,Webber,10,11.4,1.300,0,1:28.668
7,7,8,Senna,10,12.7,1.200,0,1:28.578
8,7,9,Massa,10,13.7,0.900,0,1:28.796
9,7,10,Hulkenberg,10,15.7,2.000,0,1:28.984
10,7,11,Rosberg,10,16.5,0.800,0,1:28.948
11,7,12,Maldonado,10,17.9,1.300,0,1:29.156
12,7,13,Perez,10,18.8,0.900,0,1:29.102
13,7,14,Di Resta,10,20.9,2.000,0,1:28.960
14,7,15,Ricciardo,10,23.7,2.800,0,1:29.985
15,7,16,Vergne,10,24.8,1.100,0,1:29.909
16,7,17,Kovalainen,10,26.2,1.300,0,1:30.179
17,7,18,Petrov,10,27.1,0.800,0,1:29.955
18,7,19,Kobayashi,OUT,30.5,3.400,1,
19,7,20,Pic,10,35.1,4.500,0,1:31.091
20,7,21,de la Rosa,10,42.7,7.500,0,1:31.888
21,7,22,Karthikeyan,10,44.9,2.200,0,1:32.000
22,7,23,Glock,10,47.5,2.500,0,1:32.007
23,7,24,Schumacher,10,57.1,9.600,2,1:29.855
0,8,1,Hamilton,11, , ,0,1:27.705
1,8,2,Grosjean,11,2.3,2.300,0,1:27.870
2,8,3,Button,11,6.0,3.700,0,1:28.332
3,8,4,Vettel,11,7.6,1.500,0,1:28.261
4,8,5,Alonso,11,11.0,3.300,0,1:28.592
5,8,6,Raikkonen,11,12.1,1.100,0,1:29.028
6,8,7,Webber,11,13.2,1.100,0,1:28.807
7,8,8,Senna,11,14.5,1.300,0,1:28.897
8,8,9,Massa,11,15.4,0.900,0,1:28.837
9,8,10,Hulkenberg,11,16.6,2.200,0,1:28.916
10,8,11,Rosberg,11,17.5,0.900,0,1:28.992
11,8,12,Maldonado,11,19.1,1.600,0,1:29.211
12,8,13,Perez,11,19.9,0.700,0,1:29.075
13,8,14,Di Resta,11,21.6,1.700,0,1:28.771
14,8,15,Ricciardo,11,25.2,3.500,0,1:29.498
15,8,16,Vergne,11,26.4,1.200,0,1:29.600
16,8,17,Kovalainen,11,27.7,1.300,0,1:29.555
17,8,18,Petrov,11,28.8,1.000,0,1:29.788
18,8,19,Pic,11,37.6,8.800,0,1:30.605
19,8,20,de la Rosa,11,46.3,8.700,0,1:31.706
20,8,21,Karthikeyan,11,48.8,2.400,0,1:31.918
21,8,22,Kobayashi,11,49.2,0.300,1,1:46.698
22,8,23,Glock,11,51.8,2.600,0,1:32.402
23,8,24,Schumacher,11,58.9,7.000,2,1:29.789
0,9,1,Hamilton,12, , ,0,1:27.813
1,9,2,Grosjean,12,2.5,2.500,0,1:28.073
2,9,3,Button,12,6.0,3.700,0,1:28.332
3,9,4,Vettel,12,7.6,1.500,0,1:28.261
4,9,5,Alonso,12,11.0,3.300,0,1:28.592
5,9,6,Raikkonen,12,12.1,1.100,0,1:29.028
6,9,7,Webber,12,13.2,1.100,0,1:28.807
7,9,8,Senna,12,14.5,1.300,0,1:28.897
8,9,9,Massa,12,15.4,0.900,0,1:28.837
9,9,10,Hulkenberg,12,17.9,2.400,0,1:29.031
10,9,11,Rosberg,12,19.0,1.100,0,1:29.238
11,9,12,Maldonado,12,20.3,1.200,0,1:28.892
12,9,13,Perez,12,21.2,0.900,0,1:29.018
13,9,14,Di Resta,12,23.1,1.900,0,1:29.245
14,9,15,Ricciardo,12,27.0,3.800,0,1:29.512
15,9,16,Vergne,12,28.8,1.700,0,1:30.073
16,9,17,Kovalainen,12,29.9,1.100,0,1:29.916
17,9,18,Petrov,12,31.4,1.400,0,1:30.332
18,9,19,Pic,12,40.9,9.400,0,1:30.961
19,9,20,de la Rosa,12,50.6,9.700,0,1:31.997
20,9,21,Kobayashi,12,50.8,0.200,1,1:29.366
21,9,22,Karthikeyan,12,53.6,2.700,0,1:32.499
22,9,23,Glock,12,56.2,2.600,0,1:32.094
23,9,24,Schumacher,12,60.7,4.400,2,1:29.508
0,10,1,Hamilton,13, , ,0,1:27.794
1,10,2,Grosjean,13,2.7,2.700,0,1:28.005
2,10,3,Button,13,8.1,5.300,0,1:29.296
3,10,4,Vettel,13,9.2,1.000,0,1:28.827
4,10,5,Alonso,13,11.6,3.500,0,1:28.508
5,10,6,Raikkonen,13,12.7,1.000,0,1:28.425
6,10,7,Webber,13,13.9,1.200,0,1:28.516
7,10,8,Senna,13,15.4,1.500,0,1:28.722
8,10,9,Massa,13,16.6,1.100,0,1:28.993
9,10,10,Hulkenberg,13,19.2,2.500,0,1:29.122
10,10,11,Rosberg,13,20.4,1.100,0,1:29.144
11,10,12,Maldonado,13,21.6,1.200,0,1:29.137
12,10,13,Perez,13,22.8,1.100,0,1:29.418
13,10,14,Di Resta,13,24.6,1.700,0,1:29.232
14,10,15,Ricciardo,13,28.7,4.100,0,1:29.562
15,10,16,Vergne,13,30.9,2.100,0,1:29.893
16,10,17,Kovalainen,13,32.3,1.400,0,1:30.197
17,10,18,Petrov,13,33.8,1.400,0,1:30.150
18,10,19,Pic,13,43.9,10.100,0,1:30.803
19,10,20,Kobayashi,13,52.0,8.000,1,1:28.918
20,10,21,de la Rosa,13,55.5,3.500,0,1:32.642
21,10,22,Karthikeyan,13,58.2,2.700,0,1:32.385
22,10,23,Glock,13,60.4,2.200,0,1:31.964
23,10,24,Schumacher,13,62.5,2.100,2,1:29.670
0,11,1,Hamilton,13, , ,0,1:27.794
1,11,2,Grosjean,13,2.7,2.700,0,1:28.005
2,11,3,Button,13,8.1,5.300,0,1:29.296
3,11,4,Vettel,13,9.2,1.000,0,1:28.827
4,11,5,Alonso,13,11.6,3.500,0,1:28.508
5,11,6,Raikkonen,13,12.7,1.000,0,1:28.425
6,11,7,Webber,13,13.9,1.200,0,1:28.516
7,11,8,Senna,13,15.4,1.500,0,1:28.722
8,11,9,Massa,13,16.6,1.100,0,1:28.993
9,11,10,Hulkenberg,13,19.2,2.500,0,1:29.122
10,11,11,Rosberg,13,20.4,1.100,0,1:29.144
11,11,12,Maldonado,13,21.6,1.200,0,1:29.137
12,11,13,Perez,13,22.8,1.100,0,1:29.418
13,11,14,Di Resta,13,24.6,1.700,0,1:29.232
14,11,15,Ricciardo,13,28.7,4.100,0,1:29.562
15,11,16,Vergne,13,30.9,2.100,0,1:29.893
16,11,17,Kovalainen,13,32.3,1.400,0,1:30.197
17,11,18,Petrov,13,33.8,1.400,0,1:30.150
18,11,19,Pic,13,43.9,10.100,0,1:30.803
19,11,20,Kobayashi,13,52.0,8.000,1,1:28.918
20,11,21,de la Rosa,13,55.5,3.500,0,1:32.642
