,snap_num,pos,nick,lap,gap,int,pits,t
0,3,1,Vettel,3, , ,0,1:46.474
1,3,2,Webber,3,0.9,0.900,0,1:46.698
2,3,3,Alonso,3,2.7,1.700,0,1:47.025
3,3,4,Hamilton,3,3.9,1.100,0,1:47.483
4,3,5,Massa,3,4.7,0.800,0,1:47.464
5,3,6,Raikkonen,3,5.6,0.900,0,1:47.765
6,3,7,Hulkenberg,3,7.1,1.400,0,1:48.376
7,3,8,Grosjean,3,7.7,0.500,0,1:48.265
8,3,9,Perez,3,8.1,0.400,0,1:48.221
9,3,10,Schumacher,3,9.5,1.300,0,1:48.955
10,3,11,Di Resta,3,10.2,0.600,0,1:49.085
11,3,12,Senna,3,10.9,0.700,0,1:49.440
12,3,13,Maldonado,3,11.5,0.600,0,1:49.662
13,3,14,Vergne,3,12.2,0.700,0,1:48.370
14,3,15,Ricciardo,3,13.3,1.000,0,1:47.787
15,3,16,Kovalainen,3,15.0,1.600,0,1:50.402
16,3,17,Rosberg,×,1L, ,0,
17,3,18,Petrov,3,11.8,0.700,0,
18,3,19,Glock,3,12.7,0.700,0,
19,3,20,Karthikeyan,3,13.1,0.300,0,
20,3,21,de la Rosa,3,13.7,0.500,0,
21,3,22,Pic,3,14.4,0.600,0,
22,3,23,Kobayashi,OUT,42.8,28.400,1,
23,3,24,Button,×,2L, ,0,
0,4,1,Vettel,4, , ,0,1:46.636
1,4,2,Webber,4,0.9,0.900,0,1:46.598
2,4,3,Alonso,4,2.8,1.900,0,1:46.796
3,4,4,Hamilton,4,4.4,1.600,0,1:47.229
4,4,5,Massa,4,5.2,0.700,0,1:47.124
5,4,6,Raikkonen,4,6.1,0.900,0,1:47.097
6,4,7,Hulkenberg,4,8.1,2.000,0,1:47.678
7,4,8,Grosjean,4,9.0,0.800,0,1:47.973
8,4,9,Perez,4,9.5,0.400,0,1:47.991
9,4,10,Schumacher,4,11.2,1.700,0,1:48.338
10,4,11,Di Resta,4,11.9,0.700,0,1:48.358
11,4,12,Senna,4,12.8,0.900,0,1:48.553
12,4,13,Maldonado,4,13.8,0.900,0,1:48.940
13,4,14,Vergne,4,14.3,0.500,0,1:48.712
14,4,15,Ricciardo,4,15.0,0.600,0,1:48.330
15,4,16,Kovalainen,4,17.5,2.500,0,1:49.166
16,4,17,Petrov,4,16.4,1.300,0,1:51.027
17,4,18,Glock,4,17.4,1.000,0,1:51.159
18,4,19,Karthikeyan,4,19.1,1.600,0,1:52.433
19,4,20,de la Rosa,4,19.7,0.600,0,1:52.468
20,4,21,Pic,4,20.5,0.800,0,1:52.613
21,4,22,Kobayashi,4,74.9,54.300,1,2:18.541
22,4,23,Rosberg,×,2L, ,0,
23,4,24,Button,×,3L, ,0,
0,5,1,Vettel,4, , ,0,1:46.636
1,5,2,Webber,4,0.9,0.900,0,1:46.598
2,5,3,Alonso,4,2.8,1.900,0,1:46.539
3,5,4,Hamilton,5,4.8,1.700,0,1:46.713
4,5,5,Massa,5,5.7,0.800,0,1:46.889
5,5,6,Raikkonen,5,6.9,1.100,0,1:47.159
6,5,7,Hulkenberg,5,9.3,2.300,0,1:47.460
7,5,8,Grosjean,5,10.3,1.000,0,1:47.676
8,5,9,Perez,5,10.9,0.500,0,1:47.757
9,5,10,Schumacher,5,13.2,2.200,0,1:48.342
10,5,11,Di Resta,5,14.0,0.700,0,1:48.410
11,5,12,Senna,5,14.8,0.800,0,1:48.277
12,5,13,Maldonado,5,16.2,1.400,0,1:48.699
13,5,14,Vergne,5,16.9,0.600,0,1:48.878
14,5,15,Ricciardo,5,15.0,0.600,0,1:48.330
15,5,16,Kovalainen,5,17.5,2.500,0,1:49.166
16,5,17,Petrov,5,18.8,1.300,0,1:49.100
17,5,18,Glock,5,20.7,1.800,0,1:49.925
18,5,19,de la Rosa,5,23.7,3.000,0,1:50.680
19,5,20,Karthikeyan,5,24.8,1.000,0,1:52.383
20,5,21,Pic,5,25.5,0.600,0,1:51.613
21,5,22,Kobayashi,5,75.3,49.800,1,1:47.066
22,5,23,Rosberg,×,3L, ,0,
23,5,24,Button,×,4L, ,0,
0,6,1,Vettel,6, , ,0,1:46.774
1,6,2,Webber,6,1.2,1.200,0,1:46.682
2,6,3,Alonso,6,3.2,1.900,0,1:46.894
3,6,4,Hamilton,6,4.8,1.600,0,1:46.786
4,6,5,Massa,6,5.7,0.800,0,1:46.751
5,6,6,Raikkonen,6,6.8,1.000,0,1:46.664
6,6,7,Hulkenberg,6,10.1,3.300,0,1:47.604
7,6,8,Grosjean,6,11.4,1.200,0,1:47.820
8,6,9,Perez,6,12.0,0.500,0,1:47.866
9,6,10,Schumacher,6,14.8,2.700,0,1:48.373
10,6,11,Di Resta,6,16.0,1.100,0,1:48.778
11,6,12,Senna,6,17.4,1.400,0,1:49.441
12,6,13,Maldonado,6,18.3,0.800,0,1:48.890
13,6,14,Vergne,6,19.3,0.900,0,1:49.156
14,6,15,Ricciardo,6,20.0,0.700,0,1:49.248
15,6,16,Kovalainen,6,20.6,3.000,0,1:49.427
16,6,17,Petrov,6,21.9,1.200,0,1:49.372
17,6,18,Glock,6,24.5,2.600,0,1:50.125
18,6,19,de la Rosa,6,28.1,3.600,0,1:50.712
19,6,20,Karthikeyan,6,29.8,1.700,0,1:51.333
20,6,21,Pic,6,30.4,0.500,0,1:51.262
21,6,22,Kobayashi,6,76.1,45.700,1,1:47.153
22,6,23,Rosberg,×,4L, ,0,
23,6,24,Button,×,5L, ,0,
0,7,1,Vettel,7, , ,0,1:46.083
1,7,2,Webber,7,1.3,1.300,0,1:46.226
2,7,3,Alonso,7,3.8,2.400,0,1:46.732
3,7,4,Hamilton,7,5.6,1.700,0,1:46.799
4,7,5,Massa,7,6.5,0.900,0,1:46.879
5,7,6,Raikkonen,7,7.5,0.900,0,1:46.764
6,7,7,Hulkenberg,7,11.5,4.000,0,1:47.504
7,7,8,Grosjean,7,12.7,1.100,0,1:47.392
8,7,9,Perez,7,13.8,1.000,0,1:47.901
9,7,10,Schumacher,7,16.9,3.100,0,1:48.242
10,7,11,Di Resta,7,17.9,0.900,0,1:47.994
11,7,12,Senna,7,19.5,1.600,0,1:48.151
12,7,13,Maldonado,7,18.3,0.800,0,1:48.890
13,7,14,Vergne,7,19.3,0.900,0,1:49.156
14,7,15,Ricciardo,7,20.0,0.700,0,1:49.248
15,7,16,Kovalainen,7,22.6,2.500,0,1:48.768
16,7,17,Petrov,7,25.1,2.400,0,1:49.974
17,7,18,Glock,7,27.1,2.000,0,1:49.430
18,7,19,de la Rosa,7,32.1,4.900,0,1:50.713
19,7,20,Pic,7,34.4,2.300,0,1:50.806
20,7,21,Karthikeyan,7,35.3,0.900,0,1:52.300
21,7,22,Kobayashi,7,77.1,41.700,1,1:47.777
22,7,23,Rosberg,×,5L, ,0,
23,7,24,Button,×,6L, ,0,
0,8,1,Vettel,7, , ,0,1:46.083
1,8,2,Webber,7,1.3,1.300,0,1:46.226
2,8,3,Alonso,7,3.8,2.400,0,1:46.732
3,8,4,Hamilton,7,5.6,1.700,0,1:46.799
4,8,5,Massa,7,6.5,0.900,0,1:46.879
5,8,6,Raikkonen,7,7.5,0.900,0,1:46.764
6,8,7,Hulkenberg,7,11.5,4.000,0,1:47.504
7,8,8,Grosjean,7,12.7,1.100,0,1:47.392
