,snap_num,pos,nick,lap,gap,int,pits,t
0,3,1,Webber,3, , ,0,1:53.554
1,3,2,Rosberg,3,0.7,0.700,0,1:53.729
2,3,3,Hamilton,3,1.6,0.800,0,1:53.709
3,3,4,Alonso,3,2.6,0.900,0,1:53.850
4,3,5,Massa,3,3.6,1.000,0,1:54.276
5,3,6,Vettel,3,3.4,0.500,0,
6,3,7,Raikkonen,3,4.2,0.700,0,
7,3,8,Schumacher,3,4.6,0.300,0,
8,3,9,Hulkenberg,3,5.3,0.700,0,
9,3,10,Senna,3,6.3,0.900,0,
10,3,11,Di Resta,3,7.2,0.900,0,
11,3,12,Ricciardo,3,8.0,0.700,0,
12,3,13,Kovalainen,3,8.6,0.500,0,
13,3,14,Button,3,9.4,0.800,0,
14,3,15,Glock,3,10.2,0.700,0,
15,3,16,Pic,3,10.7,0.500,0,
16,3,17,Vergne,3,11.6,0.900,0,
17,3,18,Perez,3,12.7,1.000,0,
18,3,19,Petrov,3,13.9,1.100,0,
19,3,20,Karthikeyan,3,17.1,3.100,0,
20,3,21,Kobayashi,OUT,47.7,30.600,1,
21,3,22,de la Rosa,PIT,0.0,0.000,1,
22,3,23,Maldonado,×,2L, ,0,
23,3,24,Grosjean,×,2L, ,0,
0,4,1,Webber,3, , ,0,1:53.554
1,4,2,Rosberg,3,0.7,0.700,0,1:53.729
2,4,3,Hamilton,3,1.6,0.800,0,1:53.709
3,4,4,Alonso,3,2.6,0.900,0,1:53.850
4,4,5,Massa,3,3.6,1.000,0,1:54.276
5,4,6,Vettel,4,3.2,0.700,0,1:48.962
6,4,7,Raikkonen,4,3.6,0.400,0,1:48.490
7,4,8,Schumacher,4,3.9,0.300,0,1:47.486
8,4,9,Hulkenberg,4,7.4,0.500,0,1:55.635
9,4,10,Senna,4,8.0,0.500,0,1:55.198
10,4,11,Di Resta,4,9.0,1.000,0,1:55.304
11,4,12,Ricciardo,4,10.3,1.300,0,1:55.818
12,4,13,Kovalainen,4,12.8,2.500,0,1:57.791
13,4,14,Button,4,13.6,0.700,0,1:57.735
14,4,15,Glock,4,14.7,1.100,0,1:58.070
15,4,16,Pic,4,16.2,1.500,0,1:59.071
16,4,17,Vergne,4,17.3,1.100,0,1:59.216
17,4,18,Perez,4,18.1,0.700,0,1:58.874
18,4,19,Petrov,4,20.8,2.700,0,2:00.466
