,snap_num,pos,nick,lap,gap,int,pits,t
0,3,1,Hamilton,3, , ,0,1:56.779
1,3,2,Vettel,3,1.5,1.500,0,1:57.079
2,3,3,Button,3,4.2,2.700,0,1:57.827
3,3,4,Maldonado,3,4.2,1.000,0,
4,3,5,Alonso,3,5.3,1.000,0,
5,3,6,Di Resta,3,6.2,0.800,0,
6,3,7,Webber,3,7.1,0.900,0,
7,3,8,Grosjean,3,7.9,0.800,0,
8,3,9,Rosberg,3,8.5,0.600,0,
9,3,10,Schumacher,3,9.1,0.600,0,
10,3,11,Raikkonen,3,9.8,0.600,0,
11,3,12,Hulkenberg,3,10.2,0.400,0,
12,3,13,Perez,3,10.7,0.500,0,
13,3,14,Ricciardo,3,11.3,0.500,0,
14,3,15,Vergne,3,12.0,0.700,0,
15,3,16,Kovalainen,3,12.6,0.500,0,
16,3,17,Glock,3,13.2,0.500,0,
17,3,18,Senna,3,13.7,0.500,0,
18,3,19,Kobayashi,3,14.3,0.500,0,
19,3,20,Pic,3,15.5,1.100,0,
20,3,21,de la Rosa,3,16.6,1.100,0,
21,3,22,Karthikeyan,3,17.0,0.300,0,
22,3,23,Petrov,OUT,27.8,10.700,1,
23,3,24,Massa,OUT,54.8,27.000,1,
0,4,1,Hamilton,4, , ,0,1:56.271
1,4,2,Vettel,4,1.4,1.400,0,1:56.187
2,4,3,Button,4,4.2,2.700,0,1:57.827
3,4,4,Maldonado,4,5.6,1.400,0,1:58.177
4,4,5,Alonso,4,7.0,1.400,0,1:58.511
5,4,6,Di Resta,4,8.1,1.000,0,1:58.694
6,4,7,Webber,4,9.2,1.100,0,1:58.892
7,4,8,Grosjean,4,10.3,1.000,0,1:59.168
8,4,9,Rosberg,4,11.2,0.800,0,1:59.434
9,4,10,Schumacher,4,12.0,0.800,0,1:59.670
10,4,11,Raikkonen,4,12.8,0.700,0,1:59.744
11,4,12,Hulkenberg,4,13.4,0.600,0,1:59.954
12,4,13,Perez,4,13.9,0.400,0,1:59.897
13,4,14,Ricciardo,4,15.0,1.000,0,2:00.455
14,4,15,Vergne,4,15.7,0.700,0,2:00.532
15,4,16,Kovalainen,4,16.4,0.600,0,2:00.577
16,4,17,Glock,4,17.2,0.700,0,2:00.780
17,4,18,Senna,4,17.7,0.500,0,2:00.768
18,4,19,Kobayashi,4,18.6,0.800,0,2:00.995
19,4,20,Pic,4,20.9,2.300,0,2:02.198
20,4,21,de la Rosa,4,22.3,1.400,0,2:02.428
21,4,22,Karthikeyan,4,22.9,0.500,0,2:02.626
22,4,23,Petrov,4,56.8,33.900,1,2:25.802
23,4,24,Massa,4,78.7,21.900,1,2:20.684
0,5,1,Hamilton,5, , ,0,1:55.777
1,5,2,Vettel,5,1.7,1.700,0,1:56.090
2,5,3,Button,5,5.4,3.900,0,1:57.430
3,5,4,Maldonado,5,6.7,1.300,0,1:57.371
4,5,5,Alonso,5,9.0,2.200,0,1:58.202
5,5,6,Di Resta,5,10.3,1.300,0,1:58.527
6,5,7,Webber,5,11.2,0.900,0,1:58.335
7,5,8,Grosjean,5,12.3,1.000,0,1:58.312
8,5,9,Rosberg,5,13.5,1.200,0,1:58.645
9,5,10,Schumacher,5,14.7,1.100,0,1:58.926
10,5,11,Raikkonen,5,15.2,0.500,0,1:58.687
11,5,12,Hulkenberg,5,15.9,0.700,0,1:58.795
12,5,13,Perez,5,16.4,0.400,0,1:58.761
13,5,14,Ricciardo,5,17.9,1.500,0,1:59.248
14,5,15,Vergne,5,18.6,0.600,0,1:59.104
15,5,16,Kovalainen,5,19.6,1.000,0,1:59.510
16,5,17,Glock,5,20.6,1.000,0,1:59.731
17,5,18,Senna,5,21.2,0.500,0,1:59.703
18,5,19,Kobayashi,5,22.4,1.200,0,2:00.126
19,5,20,Pic,5,25.5,3.000,0,2:00.886
20,5,21,de la Rosa,5,27.5,1.900,0,2:01.453
21,5,22,Karthikeyan,5,29.3,1.800,0,2:02.731
