,snap_num,pos,nick,lap,gap,int,pits,t
0,3,1,Vettel,4, , ,0,1:39.841
1,3,2,Kobayashi,4,1.9,1.900,0,1:40.366
2,3,3,Button,4,2.7,0.700,0,1:40.681
3,3,4,Massa,4,3.2,0.400,0,1:40.673
4,3,5,Raikkonen,4,4.3,1.100,0,1:41.282
5,3,6,Hamilton,4,5.5,1.200,0,1:41.947
6,3,7,Perez,4,5.8,0.200,0,1:42.648
7,3,8,Hulkenberg,4,6.5,0.600,0,1:42.576
8,3,9,Maldonado,4,7.4,0.900,0,1:42.907
9,3,10,Ricciardo,4,7.9,0.400,0,1:43.161
10,3,11,Kovalainen,4,9.0,1.100,0,1:43.252
11,3,12,Glock,4,10.1,1.100,0,1:44.518
12,3,13,Vergne,4,10.2,0.100,0,1:43.870
13,3,14,Di Resta,4,10.5,0.200,0,1:43.792
14,3,15,Schumacher,4,11.0,0.500,0,1:43.987
15,3,16,de la Rosa,4,12.5,1.400,0,1:44.539
16,3,17,Petrov,4,13.6,1.100,0,1:45.060
17,3,18,Karthikeyan,4,15.1,1.500,0,1:45.635
18,3,19,Pic,4,15.8,0.600,0,1:47.287
19,3,20,Grosjean,4,16.0,0.100,1,1:46.027
20,3,21,Senna,4,16.1,0.100,1,1:45.427
21,3,22,Webber,4,28.3,12.200,1,1:40.612
22,3,23,Alonso,×,3L, ,0,
23,3,24,Rosberg,×,3L, ,0,
0,4,1,Vettel,5, , ,0,1:39.523
1,4,2,Kobayashi,5,2.7,2.700,0,1:40.390
2,4,3,Button,5,3.4,0.700,0,1:40.298
3,4,4,Massa,5,4.1,0.600,0,1:40.493
4,4,5,Raikkonen,5,5.2,1.000,0,1:40.434
5,4,6,Hamilton,5,7.4,2.100,0,1:41.409
6,4,7,Perez,5,7.8,0.300,0,1:41.498
7,4,8,Hulkenberg,5,8.5,0.700,0,1:41.557
8,4,9,Maldonado,5,9.6,1.100,0,1:41.749
9,4,10,Ricciardo,5,10.8,1.100,0,1:42.455
10,4,11,Kovalainen,5,12.1,1.200,0,1:42.638
11,4,12,Vergne,5,13.1,1.000,0,1:42.381
12,4,13,Di Resta,5,14.6,1.500,0,1:43.698
13,4,14,Glock,5,15.4,0.700,0,1:44.869
