,snap_num,pos,nick,lap,gap,int,pits,t
0,3,1,Vettel,3, , ,0,2:41.099
1,3,2,Grosjean,3,1.6,1.600,0,2:41.016
2,3,3,Hamilton,3,2.4,0.700,0,
3,3,4,Webber,3,4.4,1.900,0,
4,3,5,Hulkenberg,3,5.2,0.800,0,
5,3,6,Perez,3,6.1,0.800,0,
6,3,7,Alonso,3,7.1,0.900,0,
7,3,8,Bottas,3,7.6,0.500,0,
8,3,9,Di Resta,3,8.4,0.800,0,
9,3,10,Ricciardo,3,9.7,1.200,0,
10,3,11,Rosberg,3,11.2,1.400,0,
11,3,12,Kovalainen,3,12.2,1.000,0,
12,3,13,Massa,3,13.0,0.700,0,
13,3,14,Gutierrez,OUT,13.8,0.800,1,
14,3,15,Button,3,13.9,0.000,0,
15,3,16,Vergne,3,15.0,1.000,0,
16,3,17,Maldonado,3,15.7,0.600,0,
17,3,18,Bianchi,3,16.3,0.600,0,
18,3,19,Van Der Garde,3,17.2,0.800,0,
19,3,20,Pic,3,18.9,1.600,0,
20,3,21,Chilton,3,20.1,1.200,0,
21,3,22,Sutil,×,2L, ,0,
0,4,1,Vettel,3, , ,0,2:41.099
1,4,2,Grosjean,3,1.6,1.600,0,2:40.036
2,4,3,Hamilton,4,3.7,2.100,0,2:42.404
3,4,4,Webber,4,5.1,1.300,0,2:41.795
4,4,5,Hulkenberg,4,5.8,0.600,0,2:41.632
5,4,6,Perez,4,6.0,0.200,0,2:41.057
6,4,7,Alonso,4,7.2,1.100,0,2:41.228
7,4,8,Bottas,4,8.2,1.000,0,2:41.731
8,4,9,Di Resta,4,9.5,1.200,0,2:42.195
9,4,10,Ricciardo,4,10.6,1.000,0,2:41.956
10,4,11,Rosberg,4,11.9,1.300,0,2:41.801
11,4,12,Kovalainen,4,12.7,0.800,0,2:41.601
12,4,13,Massa,4,13.9,1.100,0,2:41.997
13,4,14,Button,4,14.4,0.500,0,2:41.575
14,4,15,Vergne,4,15.4,0.900,0,2:41.503
15,4,16,Maldonado,4,16.2,0.800,0,2:41.657
16,4,17,Bianchi,4,17.9,1.700,0,2:42.742
17,4,18,Van Der Garde,4,19.2,1.200,0,2:43.112
18,4,19,Pic,4,20.2,1.000,0,2:42.495
19,4,20,Chilton,4,21.2,0.900,0,2:42.204
20,4,21,Gutierrez,4,23.0,1.700,1,2:50.269
21,4,22,Sutil,×,3L, ,0,
0,5,1,Vettel,5, , ,0,2:36.030
1,5,2,Grosjean,5,0.9,0.900,0,2:35.883
2,5,3,Hamilton,5,1.6,0.600,0,2:33.962
3,5,4,Webber,5,2.0,0.400,0,2:32.892
4,5,5,Hulkenberg,5,2.7,0.600,0,2:32.885
5,5,6,Perez,5,3.2,0.500,0,2:31.748
6,5,7,Alonso,5,8.2,0.700,0,2:41.532
7,5,8,Bottas,5,9.1,0.800,0,2:41.374
8,5,9,Di Resta,5,10.5,1.300,0,2:41.477
9,5,10,Ricciardo,5,11.6,1.000,0,2:41.507
10,5,11,Rosberg,5,12.9,1.300,0,2:41.555
11,5,12,Kovalainen,5,13.8,0.800,0,2:41.573
12,5,13,Massa,5,15.2,1.300,0,2:41.857
13,5,14,Button,5,16.6,1.300,0,2:42.710
14,5,15,Vergne,5,17.8,1.200,0,2:42.932
15,5,16,Maldonado,5,18.6,0.800,0,2:42.904
16,5,17,Bianchi,5,20.4,1.800,0,2:43.005
17,5,18,Van Der Garde,5,21.6,1.100,0,2:42.895
18,5,19,Pic,5,23.9,2.300,0,2:44.157
19,5,20,Chilton,5,24.9,1.000,0,2:44.221
20,5,21,Gutierrez,5,26.0,1.000,1,2:43.505
21,5,22,Sutil,×,4L, ,0,
0,6,1,Vettel,6, , ,0,1:44.250
1,6,2,Grosjean,6,0.9,0.900,0,1:45.259
2,6,3,Hamilton,6,1.6,0.600,0,2:33.962
3,6,4,Webber,6,2.0,0.400,0,2:32.892
4,6,5,Hulkenberg,6,2.7,0.600,0,2:32.885
5,6,6,Perez,6,3.2,0.500,0,2:31.748
6,6,7,Alonso,6,3.8,0.600,0,2:31.630
7,6,8,Bottas,6,4.6,0.700,0,2:31.533
8,6,9,Di Resta,6,5.3,0.600,0,2:30.810
9,6,10,Ricciardo,6,5.9,0.500,0,2:30.320
10,6,11,Rosberg,6,6.5,0.600,0,2:29.559
11,6,12,Kovalainen,6,7.1,0.600,0,2:29.356
12,6,13,Massa,6,8.0,0.800,0,2:28.827
13,6,14,Button,6,8.8,0.800,0,2:28.254
14,6,15,Vergne,6,9.8,1.000,0,2:28.053
15,6,16,Maldonado,6,10.8,0.900,0,2:28.206
16,6,17,Bianchi,6,13.1,2.300,0,2:28.731
17,6,18,Van Der Garde,6,14.0,0.800,0,2:28.440
18,6,19,Pic,6,14.5,0.500,0,2:26.680
19,6,20,Chilton,6,15.1,0.500,0,2:26.186
20,6,21,Gutierrez,6,15.5,0.400,1,2:25.524
21,6,22,Sutil,×,5L, ,0,
0,7,1,Vettel,7, , ,0,1:44.097
1,7,2,Grosjean,7,2.4,2.400,0,1:44.583
2,7,3,Hamilton,7,3.2,1.200,0,1:45.883
3,7,4,Webber,7,3.9,0.600,0,1:46.095
4,7,5,Hulkenberg,7,5.0,1.100,0,1:46.592
5,7,6,Perez,7,5.6,0.600,0,1:46.696
6,7,7,Alonso,7,6.1,0.400,0,1:46.586
7,7,8,Bottas,7,7.2,1.000,0,1:46.813
8,7,9,Di Resta,7,7.9,0.700,0,1:46.883
9,7,10,Ricciardo,7,8.6,0.700,0,1:46.993
10,7,11,Rosberg,7,9.4,0.700,0,1:47.154
11,7,12,Kovalainen,7,9.9,0.400,0,1:46.981
12,7,13,Massa,7,10.6,0.700,0,1:46.836
13,7,14,Button,7,11.2,0.600,0,1:46.678
14,7,15,Vergne,7,12.3,1.000,0,1:46.677
15,7,16,Maldonado,7,13.7,1.400,0,1:47.164
16,7,17,Bianchi,7,17.2,3.400,0,1:48.303
17,7,18,Van Der Garde,7,17.9,0.700,0,1:48.152
18,7,19,Gutierrez,7,18.3,0.300,1,1:47.023
19,7,20,Pic,7,19.3,1.000,0,1:49.061
20,7,21,Chilton,OUT,21.7,2.300,1,
21,7,22,Sutil,×,6L, ,0,
0,8,1,Vettel,8, , ,0,1:44.158
1,8,2,Grosjean,8,2.4,2.400,0,1:44.583
2,8,3,Hamilton,8,4.4,1.900,0,1:45.276
3,8,4,Webber,8,5.1,0.600,0,1:45.293
4,8,5,Hulkenberg,8,6.6,1.500,0,1:45.678
5,8,6,Perez,8,7.6,0.900,0,1:46.057
6,8,7,Alonso,8,8.4,0.800,0,1:46.379
7,8,8,Bottas,8,9.3,0.800,0,1:46.199
8,8,9,Di Resta,8,10.3,1.000,0,1:46.511
9,8,10,Ricciardo,8,11.1,0.700,0,1:46.583
10,8,11,Rosberg,8,11.8,0.700,0,1:46.514
11,8,12,Kovalainen,8,12.4,0.600,0,1:46.654
12,8,13,Massa,8,13.2,0.700,0,1:46.695
13,8,14,Button,8,13.8,0.600,0,1:46.688
14,8,15,Vergne,8,14.8,0.900,0,1:46.652
15,8,16,Maldonado,8,17.6,2.700,0,1:47.968
16,8,17,Bianchi,8,21.2,3.600,0,1:48.120
17,8,18,Gutierrez,8,21.6,0.400,1,1:47.481
18,8,19,Van Der Garde,8,22.5,0.800,0,1:48.749
19,8,20,Pic,8,23.2,0.600,0,1:47.968
20,8,21,Chilton,8,40.0,16.700,1,2:02.391
21,8,22,Sutil,×,7L, ,0,
