,snap_num,pos,nick,lap,gap,int,pits,t
0,3,1,Vettel,3, , ,0,1:33.106
1,3,2,Massa,3,1.8,1.800,0,1:32.853
2,3,3,Alonso,3,2.5,0.700,0,1:33.197
3,3,4,Hamilton,3,4.1,1.700,0,
4,3,5,Raikkonnen,3,4.3,0.200,0,
5,3,6,Rosberg,3,4.8,0.400,0,
6,3,7,Webber,3,5.4,0.500,0,
7,3,8,Di Resta,3,6.0,0.500,0,
8,3,9,Button,3,6.7,0.600,0,
9,3,10,Sutil,3,7.3,0.500,0,
10,3,11,Grosjean,3,7.7,0.400,0,
11,3,12,Perez,3,8.4,0.700,0,
12,3,13,Bottas,3,9.2,0.700,0,
13,3,14,Vergne,3,10.0,0.800,0,
14,3,15,Maldonado,3,10.6,0.500,0,
15,3,16,Gutierrez,3,11.2,0.600,0,
16,3,17,Bianchi,3,11.6,0.300,0,
17,3,18,Chilton,3,12.3,0.700,0,
18,3,19,Van Der Garde,3,12.4,0.100,0,
19,3,20,Ricciardo,3,13.2,0.700,0,
20,3,21,Pic,3,13.4,0.200,0,
21,3,22,Hulkenberg,×,2L, ,0,
0,4,1,Vettel,4, , ,0,1:33.550
1,4,2,Massa,4,1.7,1.700,0,1:33.456
2,4,3,Alonso,4,2.1,0.400,0,1:33.225
3,4,4,Raikkonnen,4,5.8,3.300,0,1:34.567
4,4,5,Hamilton,4,6.4,0.600,0,1:35.414
5,4,6,Rosberg,4,7.1,0.700,0,1:35.421
6,4,7,Webber,4,7.9,0.700,0,1:35.602
7,4,8,Di Resta,4,8.9,1.000,0,1:36.063
8,4,9,Button,4,9.4,0.400,0,1:35.850
9,4,10,Sutil,4,10.1,0.700,0,1:36.004
10,4,11,Grosjean,4,10.5,0.300,0,1:35.968
11,4,12,Perez,4,11.1,0.500,0,1:35.765
12,4,13,Bottas,4,11.6,0.500,0,1:35.555
13,4,14,Vergne,4,12.6,0.900,0,1:35.703
14,4,15,Gutierrez,4,13.5,0.800,0,1:35.349
15,4,16,Bianchi,4,15.6,2.000,0,1:37.074
16,4,17,Maldonado,4,16.0,0.400,0,1:38.456
17,4,18,Van Der Garde,4,16.7,0.700,0,1:37.370
18,4,19,Chilton,4,17.8,1.100,0,1:38.584
19,4,20,Pic,4,18.3,0.500,0,1:38.024
20,4,21,Ricciardo,4,18.8,0.400,0,1:38.762
21,4,22,Hulkenberg,×,3L, ,0,
0,5,1,Vettel,4, , ,0,1:33.550
1,5,2,Massa,4,1.7,1.700,0,1:33.456
2,5,3,Alonso,5,1.6,0.700,0,1:33.795
3,5,4,Raikkonnen,5,5.6,3.400,0,1:33.365
4,5,5,Hamilton,5,6.9,1.200,0,1:34.030
5,5,6,Rosberg,5,8.4,1.400,0,1:34.813
6,5,7,Webber,5,9.4,1.000,0,1:35.077
7,5,8,Di Resta,5,10.5,1.000,0,1:35.150
8,5,9,Button,5,11.2,0.600,0,1:35.294
9,5,10,Sutil,5,11.7,0.500,0,1:35.054
10,5,11,Grosjean,5,12.4,0.700,0,1:35.413
11,5,12,Perez,5,13.0,0.500,0,1:35.448
12,5,13,Bottas,5,13.8,0.800,0,1:35.712
13,5,14,Vergne,5,14.0,0.200,0,1:34.920
14,5,15,Gutierrez,5,14.9,0.900,0,1:35.028
15,5,16,Bianchi,5,17.8,2.800,0,1:35.743
16,5,17,Maldonado,5,18.0,0.200,0,1:35.613
17,5,18,Van Der Garde,5,19.4,1.300,0,1:36.270
18,5,19,Chilton,5,20.6,1.200,0,1:36.363
19,5,20,Pic,5,21.3,0.600,0,1:36.487
20,5,21,Ricciardo,5,21.8,0.500,0,1:36.567
21,5,22,Hulkenberg,×,4L, ,0,
0,6,1,Vettel,6, , ,0,1:34.496
1,6,2,Massa,6,0.7,0.700,0,1:34.369
2,6,3,Alonso,6,1.4,0.600,0,1:34.289
3,6,4,Raikkonnen,6,4.7,3.100,0,1:33.488
4,6,5,Hamilton,6,6.6,1.800,0,1:34.047
5,6,6,Rosberg,6,9.2,2.500,0,1:35.113
6,6,7,Webber,6,10.7,1.500,0,1:35.639
7,6,8,Di Resta,6,11.6,0.800,0,1:35.418
8,6,9,Sutil,6,12.8,1.200,0,1:35.560
9,6,10,Grosjean,6,14.1,1.300,0,1:36.114
10,6,11,Perez,6,14.2,0.000,0,1:35.647
11,6,12,Vergne,6,14.9,0.700,0,1:35.332
12,6,13,Gutierrez,6,15.9,0.900,0,1:35.294
13,6,14,Bottas,6,18.1,2.100,0,1:38.643
14,6,15,Maldonado,6,19.3,1.200,0,1:35.599
15,6,16,Bianchi,6,20.6,1.300,0,1:37.206
16,6,17,Van Der Garde,6,22.7,2.100,0,1:37.685
17,6,18,Chilton,6,23.3,0.500,0,1:37.069
18,6,19,Pic,6,23.8,0.500,0,1:36.943
19,6,20,Ricciardo,6,23.9,0.000,0,1:36.413
20,6,21,Button,OUT,30.7,6.700,1,
21,6,22,Hulkenberg,×,5L, ,0,
0,7,1,Vettel,7, , ,0,1:34.748
1,7,2,Massa,7,0.8,0.800,0,1:34.855
2,7,3,Alonso,7,1.4,0.600,0,1:34.791
3,7,4,Raikkonnen,7,3.9,2.500,0,1:33.684
4,7,5,Hamilton,7,6.7,2.700,0,1:34.607
5,7,6,Rosberg,7,10.5,3.700,0,1:35.819
6,7,7,Di Resta,7,12.7,2.200,0,1:35.654
7,7,8,Sutil,7,13.0,0.200,0,1:34.679
8,7,9,Perez,7,15.1,2.000,0,1:35.383
9,7,10,Vergne,7,17.7,2.600,0,1:37.289
10,7,11,Maldonado,7,20.4,2.600,0,1:35.623
11,7,12,Bottas,7,21.0,0.500,0,1:37.399
12,7,13,Bianchi,7,22.3,1.300,0,1:36.184
