,snap_num,pos,nick,lap,gap,int,pits,t
0,3,1,Vettel,3, , ,0,1:19.011
1,3,2,Hamilton,3,2.0,2.000,0,
2,3,3,Rosberg,3,3.0,0.900,0,
3,3,4,Webber,3,3.4,0.400,0,
4,3,5,Alonso,3,5.4,2.000,0,
5,3,6,Bottas,3,6.1,0.700,0,
6,3,7,Vergne,3,6.5,0.300,0,
7,3,8,Sutil,3,7.1,0.600,0,
8,3,9,Ricciardo,3,7.4,0.300,0,
9,3,10,Raikkonnen,3,7.6,0.100,0,
10,3,11,Hulkenberg,3,7.8,0.200,0,
11,3,12,Perez,3,8.2,0.300,0,
12,3,13,Maldonado,3,9.1,0.900,0,
13,3,14,Massa,3,9.5,0.300,0,
14,3,15,Button,3,10.0,0.500,0,
15,3,16,Di Resta,3,10.7,0.600,0,
16,3,17,Van Der Garde,3,11.4,0.600,0,
17,3,18,Gutierrez,3,11.8,0.400,0,
18,3,19,Pic,3,12.3,0.400,0,
19,3,20,Grosjean,3,13.4,1.100,0,
20,3,21,Bianchi,3,13.9,0.400,0,
21,3,22,Chilton,3,14.2,0.300,0,
0,4,1,Vettel,3, , ,0,1:19.011
1,4,2,Hamilton,3,2.8,2.800,0,1:19.788
2,4,3,Rosberg,4,4.1,1.200,0,1:20.143
3,4,4,Webber,4,5.0,0.900,0,1:20.582
4,4,5,Alonso,4,6.9,1.800,0,1:20.474
5,4,6,Bottas,4,8.6,1.600,0,1:21.439
6,4,7,Vergne,4,9.1,0.500,0,1:21.643
7,4,8,Sutil,4,9.6,0.500,0,1:21.555
8,4,9,Ricciardo,4,10.2,0.500,0,1:21.775
9,4,10,Raikkonnen,4,10.5,0.300,0,1:21.928
10,4,11,Hulkenberg,4,11.3,0.800,0,1:22.528
11,4,12,Perez,4,11.9,0.600,0,1:22.764
12,4,13,Massa,4,12.7,0.700,0,1:22.213
13,4,14,Maldonado,4,13.3,0.600,0,1:23.214
14,4,15,Button,4,13.6,0.200,0,1:22.559
15,4,16,Di Resta,4,14.4,0.800,0,1:22.695
16,4,17,Van Der Garde,4,15.3,0.900,0,1:22.986
17,4,18,Gutierrez,4,15.9,0.500,0,1:23.059
18,4,19,Pic,4,16.4,0.500,0,1:23.134
19,4,20,Grosjean,4,17.3,0.900,0,1:22.908
20,4,21,Bianchi,4,19.4,2.000,0,1:24.548
21,4,22,Chilton,4,20.9,1.500,0,1:25.708
0,5,1,Vettel,5, , ,0,1:18.874
1,5,2,Hamilton,5,3.8,3.800,0,1:19.563
2,5,3,Rosberg,5,4.8,1.600,0,1:20.130
3,5,4,Webber,5,5.4,0.600,0,1:19.848
4,5,5,Alonso,5,7.7,2.300,0,1:20.255
5,5,6,Bottas,5,9.5,1.800,0,1:20.396
6,5,7,Vergne,5,9.8,0.300,0,1:20.193
7,5,8,Sutil,5,10.8,0.900,0,1:20.603
8,5,9,Ricciardo,5,11.3,0.500,0,1:20.623
9,5,10,Raikkonnen,5,11.7,0.300,0,1:20.657
10,5,11,Hulkenberg,5,12.7,0.900,0,1:20.779
11,5,12,Perez,5,13.1,0.400,0,1:20.615
12,5,13,Massa,5,13.6,0.500,0,1:20.403
13,5,14,Maldonado,5,14.8,1.100,0,1:20.943
14,5,15,Button,5,15.6,0.700,0,1:21.486
15,5,16,Di Resta,5,16.6,1.000,0,1:21.703
16,5,17,Van Der Garde,5,17.8,1.100,0,1:21.955
17,5,18,Gutierrez,5,18.2,0.300,0,1:21.792
18,5,19,Pic,5,19.1,0.800,0,1:22.132
19,5,20,Grosjean,5,19.8,0.700,0,1:21.927
20,5,21,Bianchi,5,22.7,2.900,0,1:22.805
21,5,22,Chilton,5,24.9,2.200,0,1:23.462
0,6,1,Vettel,6, , ,0,1:19.136
1,6,2,Hamilton,6,3.8,3.800,0,1:19.563
2,6,3,Rosberg,6,5.6,1.700,0,1:19.690
3,6,4,Webber,6,6.3,0.600,0,1:19.751
4,6,5,Alonso,6,8.7,2.400,0,1:19.858
5,6,6,Bottas,6,11.3,2.600,0,1:20.665
6,6,7,Vergne,6,11.4,0.000,0,1:20.427
7,6,8,Sutil,6,12.1,0.700,0,1:20.218
8,6,9,Ricciardo,6,12.7,0.500,0,1:20.257
9,6,10,Raikkonnen,6,13.1,0.300,0,1:20.274
10,6,11,Hulkenberg,6,13.9,0.800,0,1:20.134
11,6,12,Perez,6,14.6,0.600,0,1:20.359
12,6,13,Massa,6,14.9,0.300,0,1:20.158
13,6,14,Maldonado,6,17.0,2.100,0,1:21.107
14,6,15,Button,6,17.5,0.400,0,1:20.743
15,6,16,Di Resta,6,18.9,1.400,0,1:21.104
16,6,17,Gutierrez,6,20.5,1.600,0,1:21.202
17,6,18,Van Der Garde,6,21.0,0.400,0,1:22.016
18,6,19,Pic,6,21.9,0.900,0,1:21.738
19,6,20,Grosjean,6,22.3,0.300,0,1:21.383
20,6,21,Bianchi,6,26.2,3.900,0,1:22.379
21,6,22,Chilton,6,29.1,2.800,0,1:23.035
0,7,1,Vettel,6, , ,0,1:19.136
1,7,2,Hamilton,6,4.2,4.200,0,1:19.508
2,7,3,Rosberg,6,5.6,1.700,0,1:19.690
3,7,4,Webber,6,6.3,0.600,0,1:19.751
4,7,5,Alonso,6,8.7,2.400,0,1:19.858
5,7,6,Bottas,6,11.3,2.600,0,1:20.665
6,7,7,Vergne,6,11.4,0.000,0,1:20.427
