,snap_num,pos,nick,lap,gap,int,pits,t
0,3,1,Hamilton,3, , ,0,1:44.041
1,3,2,Alonso,3,0.8,0.800,0,1:44.566
2,3,3,Massa,3,1.2,0.300,0,1:44.345
3,3,4,Raikkonnen,3,1.4,0.500,0,
4,3,5,Rosberg,3,3.0,1.500,0,
5,3,6,Grosjean,3,3.6,0.600,0,
6,3,7,Ricciardo,3,4.0,0.300,0,
7,3,8,Button,3,4.6,0.500,0,
8,3,9,Vettel,3,5.0,0.400,0,
9,3,10,Hulkenberg,3,5.8,0.700,0,
10,3,11,Sutil,3,6.5,0.700,0,
11,3,12,Gutierrez,3,7.1,0.600,0,
12,3,13,Perez,3,7.9,0.800,0,
13,3,14,Di Resta,3,8.1,0.100,0,
14,3,15,Maldonado,3,8.3,0.200,0,
15,3,16,Bottas,3,9.0,0.600,0,
16,3,17,Bianchi,3,9.3,0.300,0,
17,3,18,Van Der Garde,3,10.1,0.700,0,
18,3,19,Chilton,3,10.6,0.400,0,
19,3,20,Vergne,3,11.0,0.400,0,
20,3,21,Pic,3,11.3,0.300,0,
21,3,22,Webber,OUT,13.8,2.500,1,
0,4,1,Hamilton,4, , ,0,1:44.864
1,4,2,Alonso,4,0.2,0.200,0,1:44.314
2,4,3,Massa,4,0.6,0.300,0,1:44.306
3,4,4,Raikkonnen,4,1.3,0.600,0,1:44.288
4,4,5,Rosberg,4,2.8,1.400,0,1:44.583
5,4,6,Grosjean,4,3.6,0.500,0,1:44.020
6,4,7,Ricciardo,4,4.5,0.800,0,1:44.498
7,4,8,Button,4,5.3,0.800,0,1:44.809
8,4,9,Vettel,4,5.8,0.400,0,1:44.811
9,4,10,Hulkenberg,4,6.6,0.800,0,1:44.903
10,4,11,Sutil,4,7.0,0.400,0,1:44.605
11,4,12,Gutierrez,4,7.8,0.800,0,1:44.775
12,4,13,Perez,4,9.5,1.600,0,1:45.586
13,4,14,Di Resta,4,10.2,0.700,0,1:46.169
14,4,15,Maldonado,4,10.8,0.500,0,1:46.469
15,4,16,Bottas,4,11.6,0.800,0,1:46.671
16,4,17,Bianchi,4,12.2,0.500,0,1:46.865
17,4,18,Van Der Garde,4,13.2,0.900,0,1:47.069
18,4,19,Vergne,4,13.8,0.600,0,1:46.840
19,4,20,Chilton,4,14.2,0.300,0,1:47.609
20,4,21,Pic,4,14.6,0.400,0,1:47.374
21,4,22,Webber,4,29.7,15.000,1,1:59.905
0,5,1,Hamilton,5, , ,0,1:45.816
1,5,2,Alonso,5,0.0,0.000,0,1:45.573
2,5,3,Massa,5,0.3,0.200,0,1:45.485
3,5,4,Raikkonnen,5,0.8,0.400,0,1:45.290
4,5,5,Grosjean,5,2.0,1.200,0,1:44.647
5,5,6,Rosberg,5,2.8,1.400,0,1:44.583
6,5,7,Ricciardo,5,3.9,0.700,0,1:44.308
7,5,8,Button,5,4.6,0.700,0,1:44.138
8,5,9,Vettel,5,5.2,0.500,0,1:44.296
9,5,10,Hulkenberg,5,5.9,0.700,0,1:44.177
10,5,11,Sutil,5,6.4,0.400,0,1:44.257
11,5,12,Gutierrez,5,7.8,1.300,0,1:44.829
