,snap_num,pos,nick,lap,gap,int,pits,t
0,3,1,Vettel,PIT, , ,1,
1,3,2,Massa,3,1.0,1.000,0,1:32.981
2,3,3,Rosberg,3,1.9,0.800,0,1:33.101
3,3,4,Hamilton,3,3.8,0.500,0,
4,3,5,Hulkenberg,3,4.4,0.500,0,
5,3,6,Raikkonnen,3,4.8,0.400,0,
6,3,7,Webber,3,5.4,0.500,0,
7,3,8,Perez,3,6.0,0.600,0,
8,3,9,Ricciardo,3,6.7,0.700,0,
9,3,10,Alonso,3,7.9,1.100,0,
10,3,11,Sutil,3,8.7,0.800,0,
11,3,12,Maldonado,3,9.3,0.500,0,
12,3,13,Button,3,9.6,0.200,0,
13,3,14,Gutierrez,3,10.3,0.700,0,
14,3,15,Di Resta,OUT,10.9,0.500,1,
15,3,16,Grosjean,3,10.9,0.000,0,
16,3,17,Bottas,3,11.0,0.000,0,
17,3,18,Bianchi,3,11.8,0.800,0,
18,3,19,Chilton,3,12.4,0.500,0,
19,3,20,Vergne,OUT,12.5,0.000,1,
20,3,21,Pic,OUT,38.2,25.700,1,
21,3,22,Van Der Garde,PIT,69.6,31.300,1,
0,4,1,Massa,4, , ,0,1:32.706
1,4,2,Rosberg,4,1.1,1.100,0,1:32.990
2,4,3,Hamilton,4,1.9,0.800,0,1:33.063
3,4,4,Vettel,OUT,0.0,0.000,1,
4,4,5,Hulkenberg,4,3.7,1.000,0,1:33.703
5,4,6,Raikkonnen,4,4.2,0.500,0,1:33.824
6,4,7,Webber,4,5.1,0.900,0,1:34.156
7,4,8,Perez,4,5.7,0.600,0,1:34.165
8,4,9,Ricciardo,4,6.9,1.100,0,1:34.622
9,4,10,Sutil,4,10.2,3.200,0,1:35.887
10,4,11,Button,4,10.5,0.300,0,1:35.341
11,4,12,Maldonado,4,11.2,0.600,0,1:36.278
12,4,13,Gutierrez,4,11.9,0.600,0,1:35.913
13,4,14,Grosjean,4,12.1,0.200,0,1:35.523
14,4,15,Alonso,OUT,12.3,0.200,1,
15,4,16,Bottas,4,12.7,0.300,0,1:36.117
16,4,17,Bianchi,4,13.6,0.900,0,1:36.235
17,4,18,Chilton,4,15.3,1.600,0,1:37.351
18,4,19,Di Resta,4,29.8,14.500,1,1:53.339
19,4,20,Vergne,4,31.7,1.800,1,1:53.633
20,4,21,Pic,4,65.9,34.200,1,2:02.121
21,4,22,Van Der Garde,PIT,69.6,31.300,1,
0,5,1,Massa,5, , ,0,1:32.716
1,5,2,Rosberg,5,1.1,1.100,0,1:32.746
2,5,3,Hamilton,5,2.3,1.100,0,1:33.097
3,5,4,Hulkenberg,5,3.4,1.400,0,1:33.480
4,5,5,Raikkonnen,5,3.7,0.300,0,1:33.279
5,5,6,Webber,5,4.5,0.700,0,1:33.131
6,5,7,Perez,5,5.7,1.200,0,1:33.752
7,5,8,Ricciardo,5,7.3,1.500,0,1:34.155
8,5,9,Button,5,10.6,3.300,0,1:33.855
9,5,10,Sutil,5,11.7,1.000,0,1:35.235
10,5,11,Maldonado,5,12.3,0.600,0,1:34.926
11,5,12,Grosjean,5,13.3,0.900,0,1:35.038
12,5,13,Gutierrez,5,13.6,0.200,0,1:35.535
13,5,14,Bottas,5,14.3,0.600,0,1:35.393
14,5,15,Bianchi,5,15.4,1.100,0,1:35.570
15,5,16,Chilton,5,17.6,2.200,0,1:36.102
16,5,17,Vettel,5,18.4,0.700,1,1:52.178
17,5,18,Di Resta,5,29.3,10.900,1,1:33.268
18,5,19,Vergne,5,31.4,2.100,1,1:33.514
19,5,20,Alonso,5,37.4,5.900,1,1:58.816
20,5,21,Pic,5,68.2,30.800,1,1:36.043
21,5,22,Van Der Garde,×,3L, ,1,
0,6,1,Massa,5, , ,0,1:32.716
1,6,2,Rosberg,5,1.1,1.100,0,1:32.746
2,6,3,Hamilton,6,2.7,1.400,0,1:33.318
3,6,4,Hulkenberg,6,4.4,2.000,0,1:33.713
4,6,5,Raikkonnen,6,4.9,0.500,0,1:33.935
5,6,6,Webber,6,5.6,0.600,0,1:33.813
6,6,7,Perez,6,6.6,0.900,0,1:33.548
7,6,8,Ricciardo,6,8.7,2.100,0,1:34.133
8,6,9,Button,6,11.5,2.700,0,1:33.599
9,6,10,Sutil,6,12.9,1.400,0,1:33.957
10,6,11,Grosjean,6,14.0,1.000,0,1:33.374
11,6,12,Maldonado,6,14.4,0.400,0,1:34.816
12,6,13,Gutierrez,6,15.2,0.800,0,1:34.349
13,6,14,Bottas,6,16.0,0.700,0,1:34.445
14,6,15,Bianchi,6,18.7,2.600,0,1:35.967
15,6,16,Vettel,6,18.8,0.100,1,1:33.208
16,6,17,Chilton,6,21.9,3.000,0,1:36.947
17,6,18,Di Resta,6,29.9,8.000,1,1:33.317
18,6,19,Vergne,6,32.4,2.400,1,1:33.688
19,6,20,Alonso,6,37.5,5.000,1,1:32.814
20,6,21,Pic,6,71.2,33.700,1,1:35.752
21,6,22,Van Der Garde,×,4L, ,1,
0,7,1,Massa,6, , ,0,1:32.921
1,7,2,Rosberg,6,1.3,1.300,0,1:33.049
2,7,3,Hamilton,6,2.7,1.400,0,1:33.318
3,7,4,Raikkonnen,6,5.8,3.000,0,1:33.771
4,7,5,Webber,6,6.3,0.400,0,1:33.634
5,7,6,Hulkenberg,PIT,4.4,2.000,1,
6,7,7,Perez,6,6.6,0.900,0,1:33.548
7,7,8,Ricciardo,6,8.7,2.100,0,1:34.133
8,7,9,Button,6,11.5,2.700,0,1:33.599
9,7,10,Sutil,6,12.9,1.400,0,1:33.957
10,7,11,Grosjean,7,14.6,0.800,0,1:33.571
11,7,12,Maldonado,7,15.7,1.000,0,1:34.182
12,7,13,Gutierrez,7,16.8,1.100,0,1:34.483
13,7,14,Bottas,7,17.6,0.700,0,1:34.459
14,7,15,Vettel,7,18.8,1.200,1,1:32.874
15,7,16,Chilton,7,24.9,6.100,0,1:35.982
16,7,17,Bianchi,OUT,24.9,6.100,1,
17,7,18,Di Resta,7,30.7,5.700,1,1:33.674
18,7,19,Vergne,7,33.1,2.400,1,1:33.635
19,7,20,Alonso,7,37.4,4.200,1,1:32.802
20,7,21,Pic,7,74.0,36.600,1,1:35.686
21,7,22,Van Der Garde,×,5L, ,1,
0,8,1,Massa,8, , ,0,1:33.054
1,8,2,Rosberg,8,1.4,1.400,0,1:33.161
2,8,3,Hamilton,8,3.0,1.400,1,
3,8,4,Webber,8,5.6,2.500,0,1:32.419
4,8,5,Raikkonnen,8,6.9,1.200,0,1:34.149
5,8,6,Perez,8,7.8,0.900,0,1:33.458
6,8,7,Ricciardo,8,10.5,2.700,0,1:33.871
7,8,8,Sutil,8,14.7,4.100,0,1:33.882
8,8,9,Grosjean,8,15.1,0.400,0,1:33.485
9,8,10,Button,OUT,16.2,1.000,1,
10,8,11,Maldonado,8,16.3,0.100,0,1:33.663
11,8,12,Gutierrez,8,17.4,1.000,0,1:33.629
12,8,13,Bottas,8,18.3,0.900,0,1:33.803
13,8,14,Vettel,8,18.9,0.500,1,1:33.119
14,8,15,Hulkenberg,8,27.8,8.900,1,1:53.603
15,8,16,Chilton,8,28.1,0.300,0,1:36.197
16,8,17,Di Resta,8,31.0,2.900,1,1:33.380
17,8,18,Vergne,8,33.7,2.700,1,1:33.637
18,8,19,Alonso,8,37.0,3.200,1,1:32.658
19,8,20,Bianchi,8,57.8,20.800,1,2:05.970
20,8,21,Pic,8,76.4,18.500,1,1:35.502
21,8,22,Van Der Garde,×,6L, ,1,
0,9,1,Massa,PIT, , ,1,
1,9,2,Webber,9,2.3,2.300,0,1:32.398
2,9,3,Hamilton,PIT,3.3,3.300,1,
3,9,4,Rosberg,OUT,3.7,0.300,1,
4,9,5,Perez,9,7.9,2.700,0,1:33.159
5,9,6,Ricciardo,9,11.2,3.300,0,1:33.729
6,9,7,Raikkonnen,OUT,11.3,0.100,1,
7,9,8,Grosjean,9,14.9,3.600,0,1:32.911
8,9,9,Sutil,9,16.0,1.100,0,1:34.450
9,9,10,Maldonado,9,16.9,0.800,0,1:33.653
10,9,11,Gutierrez,9,18.1,1.200,0,1:33.813
11,9,12,Vettel,9,18.6,0.400,1,1:32.771
12,9,13,Bottas,9,19.8,1.100,0,1:34.527
13,9,14,Hulkenberg,9,27.3,7.500,1,1:32.611
14,9,15,Chilton,9,30.9,3.500,0,1:35.892
15,9,16,Di Resta,9,31.9,0.900,1,1:33.923
16,9,17,Vergne,9,34.0,2.100,1,1:33.351
17,9,18,Button,9,34.6,0.500,1,1:51.455
18,9,19,Alonso,9,36.8,2.200,1,1:32.900
19,9,20,Bianchi,9,60.4,23.600,1,1:35.612
20,9,21,Pic,9,78.4,17.900,1,1:34.996
21,9,22,Van Der Garde,×,7L, ,1,
0,10,1,Webber,10, , ,0,1:31.828
1,10,2,Massa,OUT,0.0,0.000,1,
2,10,3,Hamilton,OUT,3.8,1.400,1,
3,10,4,Perez,10,5.9,2.000,0,1:33.209
4,10,5,Ricciardo,10,9.6,3.700,0,1:33.607
5,10,6,Grosjean,10,12.8,3.100,0,1:33.036
6,10,7,Sutil,10,14.7,1.900,0,1:33.833
7,10,8,Vettel,10,15.9,1.200,1,1:32.540
8,10,9,Gutierrez,10,17.2,1.200,0,1:34.256
9,10,10,Maldonado,OUT,17.9,0.600,1,
10,10,11,Bottas,10,18.6,0.700,0,1:34.053
11,10,12,Rosberg,10,20.6,2.000,1,1:52.158
12,10,13,Hulkenberg,10,25.0,4.300,1,1:32.850
13,10,14,Di Resta,10,30.0,5.000,1,1:33.375
14,10,15,Raikkonnen,10,32.1,2.100,1,1:56.029
15,10,16,Chilton,10,32.6,0.500,0,1:36.943
16,10,17,Vergne,10,33.7,1.000,1,1:34.885
17,10,18,Button,10,34.1,0.400,1,1:34.742
18,10,19,Alonso,10,34.9,0.700,1,1:33.262
19,10,20,Bianchi,10,60.4,25.500,1,1:35.230
20,10,21,Pic,10,78.4,17.900,1,1:35.214
21,10,22,Van Der Garde,×,8L, ,1,
0,11,1,Webber,11, , ,0,1:31.699
1,11,2,Perez,11,4.3,4.300,0,1:32.663
2,11,3,Ricciardo,11,8.6,4.200,0,1:33.199
3,11,4,Grosjean,11,12.1,3.500,0,1:33.574
4,11,5,Sutil,11,13.9,1.700,0,1:33.442
5,11,6,Vettel,11,14.3,0.400,1,1:32.610
6,11,7,Gutierrez,11,16.1,1.700,0,1:33.097
7,11,8,Massa,11,18.0,1.900,1,1:52.235
8,11,9,Bottas,11,19.2,1.100,0,1:34.750
9,11,10,Rosberg,11,19.6,0.400,1,1:33.213
10,11,11,Hamilton,11,21.7,2.000,1,1:52.127
11,11,12,Hulkenberg,11,24.2,2.400,1,1:33.442
12,11,13,Di Resta,11,29.0,4.700,1,1:33.131
13,11,14,Raikkonnen,11,29.8,0.800,1,1:31.895
14,11,15,Button,11,33.2,3.400,1,1:33.343
15,11,16,Vergne,11,34.3,1.000,1,1:34.840
16,11,17,Alonso,11,34.8,0.400,1,1:34.110
17,11,18,Chilton,11,36.3,1.500,0,1:37.862
18,11,19,Maldonado,11,38.5,2.100,1,1:54.799
19,11,20,Bianchi,11,61.3,22.700,1,1:35.047
20,11,21,Pic,11,79.1,17.800,1,1:34.970
21,11,22,Van Der Garde,×,9L, ,1,
0,12,1,Webber,12, , ,0,1:31.548
1,12,2,Perez,12,4.9,4.900,0,1:32.283
2,12,3,Ricciardo,12,10.1,5.100,0,1:33.161
3,12,4,Grosjean,12,13.7,3.600,0,1:33.298
4,12,5,Vettel,12,14.5,0.800,1,1:31.939
5,12,6,Sutil,12,16.0,1.400,0,1:33.821
6,12,7,Gutierrez,12,17.3,1.200,0,1:32.935
7,12,8,Massa,12,18.7,1.400,1,1:32.440
8,12,9,Rosberg,12,21.8,3.000,1,1:33.811
9,12,10,Bottas,12,22.5,0.700,0,1:35.072
10,12,11,Hamilton,12,23.1,0.500,1,1:33.049
11,12,12,Hulkenberg,12,25.5,2.400,1,1:32.988
12,12,13,Di Resta,12,30.2,4.700,1,1:32.963
13,12,14,Raikkonnen,12,30.6,0.400,1,1:32.501
14,12,15,Button,12,34.5,3.900,1,1:33.001
15,12,16,Vergne,12,36.7,2.100,1,1:34.083
16,12,17,Alonso,12,37.1,0.300,1,1:34.001
17,12,18,Chilton,12,39.8,2.700,0,1:35.233
18,12,19,Maldonado,12,40.5,0.600,1,1:33.700
19,12,20,Bianchi,12,64.5,24.000,1,1:34.932
20,12,21,Pic,12,82.3,17.800,1,1:34.860
21,12,22,Van Der Garde,×,10L, ,1,
0,13,1,Webber,12, , ,0,1:31.548
1,13,2,Perez,12,6.1,6.100,0,1:32.765
2,13,3,Ricciardo,13,11.6,5.500,0,1:33.116
3,13,4,Vettel,13,14.4,2.700,1,1:31.358
4,13,5,Grosjean,13,16.1,1.700,0,1:33.985
5,13,6,Sutil,13,17.6,1.400,0,1:33.127
6,13,7,Gutierrez,13,18.8,1.100,0,1:33.025
7,13,8,Massa,13,19.7,0.900,1,1:32.578
8,13,9,Rosberg,13,23.1,3.300,1,1:32.924
9,13,10,Bottas,13,24.1,1.000,0,1:33.168
10,13,11,Hamilton,13,24.7,0.500,1,1:33.190
11,13,12,Hulkenberg,13,26.9,2.100,1,1:32.940
12,13,13,Raikkonnen,13,31.3,4.400,1,1:32.265
13,13,14,Di Resta,13,33.0,1.600,1,1:34.371
14,13,15,Button,13,36.5,3.500,1,1:33.563
15,13,16,Alonso,13,38.0,1.400,1,1:32.443
16,13,17,Vergne,13,39.8,1.800,1,1:34.622
17,13,18,Maldonado,13,42.4,2.600,1,1:33.460
18,13,19,Chilton,13,44.5,2.100,0,1:36.262
19,13,20,Bianchi,13,67.8,23.300,1,1:34.902
20,13,21,Pic,13,85.5,17.600,1,1:34.758
21,13,22,Van Der Garde,×,11L, ,1,
0,14,1,Webber,14, , ,0,1:31.844
1,14,2,Perez,14,7.0,7.000,0,1:32.263
2,14,3,Ricciardo,14,13.4,6.300,0,1:33.149
3,14,4,Vettel,14,14.5,1.100,1,1:31.578
4,14,5,Grosjean,14,17.7,3.200,0,1:33.000
5,14,6,Sutil,14,19.2,1.400,0,1:32.974
6,14,7,Gutierrez,14,20.4,1.200,0,1:33.072
7,14,8,Massa,14,21.1,0.600,1,1:32.808
8,14,9,Rosberg,14,24.2,3.000,1,1:32.436
9,14,10,Bottas,14,25.6,1.400,0,1:32.846
10,14,11,Hamilton,14,26.3,0.700,1,1:33.001
11,14,12,Hulkenberg,14,28.2,1.900,1,1:32.743
12,14,13,Raikkonnen,14,32.2,4.000,1,1:32.283
13,14,14,Di Resta,14,34.6,2.400,1,1:33.026
14,14,15,Alonso,14,40.0,5.300,1,1:33.447
15,14,16,Vergne,14,41.8,1.700,1,1:33.434
16,14,17,Button,OUT,42.5,0.700,2,
17,14,18,Maldonado,14,44.4,1.800,1,1:33.391
18,14,19,Chilton,14,48.2,3.800,0,1:35.061
19,14,20,Bianchi,14,71.3,23.100,1,1:34.860
20,14,21,Pic,14,89.1,17.700,1,1:34.981
21,14,22,Van Der Garde,×,12L, ,1,
0,15,1,Webber,15, , ,0,1:32.242
1,15,2,Perez,15,7.2,7.200,0,1:32.083
2,15,3,Vettel,15,13.8,6.500,1,1:31.086
3,15,4,Ricciardo,15,15.8,2.000,0,1:34.298
4,15,5,Sutil,15,20.1,4.200,0,1:32.795
5,15,6,Gutierrez,15,21.6,1.400,0,1:33.004
6,15,7,Grosjean,OUT,21.9,0.300,1,
7,15,8,Massa,15,22.5,0.500,1,1:33.162
8,15,9,Rosberg,15,24.5,2.000,1,1:32.229
9,15,10,Bottas,15,27.0,2.400,0,1:33.309
