,snap_num,pos,nick,lap,gap,int,pits,t
0,3,1,Vettel,3, , ,0,1:57.127
1,3,2,Alonso,×,1L, ,0,
2,3,3,Webber,3,3.5,0.000,0,
3,3,4,Hamilton,3,3.9,0.400,0,
4,3,5,Button,3,5.2,1.200,0,
5,3,6,Massa,3,5.9,0.600,0,
6,3,7,Rosberg,3,6.1,0.200,0,
7,3,8,Perez,3,6.9,0.800,0,
8,3,9,Sutil,3,7.3,0.300,0,
9,3,10,Hulkenberg,3,8.0,0.600,0,
10,3,11,Ricciardo,3,8.7,0.700,0,
11,3,12,Raikkonnen,3,9.3,0.500,0,
12,3,13,Grosjean,3,9.5,0.200,0,
13,3,14,Di Resta,3,10.0,0.400,0,
14,3,15,Maldonado,3,10.9,0.900,0,
15,3,16,Gutierrez,3,11.2,0.200,0,
16,3,17,Pic,3,12.0,0.800,0,
17,3,18,Vergne,3,12.9,0.900,0,
18,3,19,Van Der Garde,3,13.0,0.000,0,
19,3,20,Bianchi,3,14.1,1.100,0,
20,3,21,Chilton,3,14.8,0.600,0,
21,3,22,Bottas,3,15.8,1.000,0,
0,4,1,Vettel,3, , ,0,1:56.672
1,4,2,Webber,4,3.3,3.300,0,1:56.963
2,4,3,Hamilton,4,4.6,1.300,0,1:57.796
3,4,4,Button,4,7.4,2.700,0,1:59.307
4,4,5,Rosberg,4,7.7,0.200,0,1:58.701
5,4,6,Massa,4,9.4,1.600,0,2:00.601
6,4,7,Perez,4,10.0,0.600,0,2:00.220
7,4,8,Sutil,4,10.7,0.600,0,2:00.512
8,4,9,Hulkenberg,4,11.3,0.600,0,2:00.453
9,4,10,Ricciardo,4,12.7,1.400,0,2:01.111
10,4,11,Raikkonnen,4,13.4,0.600,0,2:01.195
11,4,12,Grosjean,4,13.6,0.200,0,2:01.218
12,4,13,Di Resta,4,14.1,0.400,0,2:01.236
13,4,14,Maldonado,4,15.5,1.400,0,2:01.731
14,4,15,Gutierrez,4,16.4,0.800,0,2:02.318
15,4,16,Vergne,4,17.5,1.100,0,2:01.658
16,4,17,Pic,4,17.6,0.100,0,2:02.729
17,4,18,Van Der Garde,4,18.6,0.900,0,2:02.752
18,4,19,Bianchi,4,19.9,1.200,0,2:02.876
19,4,20,Chilton,4,21.0,1.000,0,2:03.326
20,4,21,Bottas,4,21.5,0.500,0,2:02.831
21,4,22,Alonso,×,2L, ,0,
0,5,1,Vettel,4, , ,0,1:56.672
1,5,2,Webber,4,3.3,3.300,0,1:56.963
2,5,3,Hamilton,4,4.6,1.300,0,1:57.796
3,5,4,Button,4,7.4,2.700,0,1:59.307
4,5,5,Rosberg,4,7.7,0.200,0,1:58.701
5,5,6,Massa,4,9.4,1.600,0,2:00.601
6,5,7,Perez,4,10.0,0.600,0,2:00.220
7,5,8,Sutil,4,10.7,0.600,0,2:00.512
8,5,9,Hulkenberg,4,11.3,0.600,0,2:00.453
9,5,10,Ricciardo,4,12.7,1.400,0,2:01.111
10,5,11,Raikkonnen,4,13.4,0.600,0,2:01.195
11,5,12,Grosjean,4,13.6,0.200,0,2:01.218
12,5,13,Di Resta,4,14.1,0.400,0,2:01.236
13,5,14,Maldonado,4,15.5,1.400,0,2:01.731
14,5,15,Gutierrez,4,16.4,0.800,0,2:02.318
15,5,16,Vergne,4,17.5,1.100,0,2:01.658
16,5,17,Pic,4,17.6,0.100,0,2:02.729
17,5,18,Van Der Garde,4,18.6,0.900,0,2:02.752
18,5,19,Bianchi,4,19.9,1.200,0,2:02.876
19,5,20,Chilton,4,21.0,1.000,0,2:03.326
20,5,21,Bottas,4,21.5,0.500,0,2:02.831
21,5,22,Alonso,×,2L, ,0,
0,6,1,Webber,6, , ,0,1:56.588
1,6,2,Vettel,PIT,0.2,0.200,1,
2,6,3,Hamilton,6,3.3,3.000,0,1:57.432
3,6,4,Rosberg,6,8.5,2.400,0,1:56.984
4,6,5,Button,6,12.6,4.000,0,1:59.518
5,6,6,Massa,6,14.6,2.000,0,1:59.658
6,6,7,Perez,6,16.6,1.900,0,2:00.474
7,6,8,Hulkenberg,6,16.9,0.300,0,1:59.196
8,6,9,Sutil,6,18.4,1.400,0,2:01.215
9,6,10,Ricciardo,6,19.9,1.400,0,2:00.460
10,6,11,Grosjean,6,20.1,0.200,0,2:00.186
11,6,12,Raikkonnen,6,20.8,0.600,0,2:01.057
12,6,13,Di Resta,6,22.5,1.700,0,2:00.960
13,6,14,Gutierrez,6,22.8,0.300,0,1:59.658
14,6,15,Maldonado,6,24.1,1.300,0,2:01.430
15,6,16,Vergne,6,24.3,0.100,0,2:00.814
16,6,17,Pic,6,26.9,2.600,0,2:01.517
17,6,18,Van Der Garde,6,28.6,1.700,0,2:02.061
18,6,19,Bianchi,6,29.6,1.000,0,2:01.771
19,6,20,Bottas,6,30.2,0.500,0,2:00.708
20,6,21,Chilton,6,33.2,2.900,0,2:01.714
21,6,22,Alonso,×,4L, ,0,
0,7,1,Webber,7, , ,0,1:55.795
1,7,2,Hamilton,7,4.1,4.100,0,1:56.590
2,7,3,Vettel,OUT,0.2,0.200,1,
3,7,4,Rosberg,7,5.7,2.300,0,1:57.368
4,7,5,Button,7,11.3,5.600,0,1:58.905
5,7,6,Hulkenberg,7,15.0,3.600,0,1:58.225
6,7,7,Perez,7,17.2,2.200,0,2:00.855
7,7,8,Massa,OUT,17.7,0.400,1,
8,7,9,Sutil,7,18.1,0.300,0,1:59.860
9,7,10,Grosjean,7,18.6,0.400,0,1:58.594
10,7,11,Ricciardo,7,20.3,1.700,0,2:00.580
11,7,12,Raikkonnen,7,21.0,0.600,0,2:00.347
12,7,13,Di Resta,7,22.0,1.000,0,1:59.683
13,7,14,Gutierrez,7,23.0,0.900,0,2:00.334
14,7,15,Vergne,7,24.2,1.200,0,2:00.056
15,7,16,Maldonado,7,25.3,1.000,0,2:01.282
16,7,17,Pic,7,27.8,2.500,0,2:01.085
17,7,18,Van Der Garde,7,29.1,1.300,0,2:00.684
18,7,19,Bianchi,7,30.8,1.700,0,2:01.397
19,7,20,Bottas,7,31.4,0.500,0,2:01.404
20,7,21,Chilton,7,34.6,3.100,0,2:01.581
21,7,22,Alonso,×,5L, ,0,
0,8,1,Webber,PIT, , ,1,
1,8,2,Hamilton,PIT,4.1,4.100,1,
2,8,3,Rosberg,8,6.5,2.300,0,1:56.559
3,8,4,Button,8,14.2,7.700,0,1:58.698
4,8,5,Hulkenberg,8,17.2,2.900,0,1:58.002
5,8,6,Perez,8,21.2,4.000,0,1:59.779
6,8,7,Vettel,8,22.5,1.200,1,2:18.058
7,8,8,Grosjean,8,23.0,0.500,0,2:00.277
8,8,9,Sutil,OUT,26.1,3.000,1,
9,8,10,Gutierrez,8,26.2,3.100,0,1:59.033
10,8,11,Vergne,8,27.2,1.000,0,1:58.883
11,8,12,Ricciardo,OUT,28.1,0.800,1,
12,8,13,Raikkonnen,OUT,29.3,1.100,1,
13,8,14,Di Resta,OUT,29.9,0.500,1,
14,8,15,Pic,8,32.0,2.000,0,1:59.960
15,8,16,Maldonado,OUT,33.5,1.500,1,
16,8,17,Van Der Garde,OUT,37.8,4.200,1,
17,8,18,Bianchi,OUT,39.1,1.300,1,
18,8,19,Bottas,OUT,41.1,1.900,1,
19,8,20,Massa,8,41.8,0.600,1,2:19.910
20,8,21,Chilton,OUT,44.2,2.400,1,
21,8,22,Alonso,×,6L, ,0,
0,9,1,Rosberg,PIT, , ,1,
1,9,2,Webber,OUT,0.0,0.000,1,
2,9,3,Hamilton,OUT,4.3,0.500,1,
3,9,4,Button,OUT,16.7,12.400,1,
4,9,5,Hulkenberg,OUT,17.9,1.200,1,
5,9,6,Vettel,9,19.3,1.300,1,1:55.376
6,9,7,Perez,OUT,24.9,5.500,1,
7,9,8,Grosjean,OUT,25.5,0.500,1,
8,9,9,Gutierrez,OUT,29.2,3.700,1,
9,9,10,Vergne,OUT,30.9,1.600,1,
10,9,11,Pic,OUT,36.7,5.800,1,
11,9,12,Massa,9,38.3,1.500,1,1:55.043
12,9,13,Ricciardo,9,42.8,4.500,1,2:13.227
13,9,14,Raikkonnen,9,44.3,1.400,1,2:13.517
14,9,15,Maldonado,9,48.7,4.400,1,2:13.777
15,9,16,Van Der Garde,9,53.9,5.100,1,2:14.676
16,9,17,Sutil,9,57.5,3.600,1,2:29.973
17,9,18,Bianchi,9,58.1,0.500,1,2:17.494
18,9,19,Bottas,9,58.6,0.500,1,2:16.098
19,9,20,Di Resta,9,61.3,2.600,1,2:29.966
20,9,21,Chilton,9,67.1,5.800,1,2:21.445
21,9,22,Alonso,×,7L, ,0,
0,10,1,Webber,10, , ,1,1:47.195
1,10,2,Rosberg,OUT,0.0,0.000,1,
2,10,3,Vettel,10,7.5,1.500,1,1:50.138
3,10,4,Hamilton,10,13.9,6.400,1,2:11.608
