,snap_num,pos,nick,lap,gap,int,pits,t
0,3,1,Vettel,3, , ,0,1:30.357
1,3,2,Massa,3,1.4,1.400,0,1:30.675
2,3,3,Webber,3,2.2,0.800,0,1:30.794
3,3,4,Alonso,3,2.6,0.300,0,1:30.886
4,3,5,Hulkenberg,3,2.8,0.600,0,
5,3,6,Rosberg,3,3.1,0.300,0,
6,3,7,Ricciardo,3,3.8,0.600,0,
7,3,8,Perez,3,4.3,0.500,0,
8,3,9,Vergne,3,5.2,0.800,0,
9,3,10,Hamilton,3,6.0,0.800,0,
10,3,11,Button,3,6.9,0.800,0,
11,3,12,Sutil,3,7.4,0.500,0,
12,3,13,Grosjean,3,7.6,0.100,0,
13,3,14,Maldonado,3,8.1,0.500,0,
14,3,15,Gutierrez,3,8.4,0.200,0,
15,3,16,Bottas,3,9.2,0.700,0,
16,3,17,Pic,3,9.3,0.100,0,
17,3,18,Van Der Garde,3,10.2,0.800,0,
18,3,19,Bianchi,3,10.2,0.800,0,
19,3,20,Chilton,3,10.5,0.300,0,
20,3,21,Raikkonnen,OUT,11.1,0.500,1,
21,3,22,Di Resta,×,2L, ,0,
0,4,1,Vettel,3, , ,0,1:30.357
1,4,2,Massa,3,1.4,1.400,0,1:30.675
2,4,3,Webber,3,2.2,0.800,0,1:30.794
3,4,4,Alonso,3,2.6,0.300,0,1:30.886
4,4,5,Hulkenberg,3,3.5,0.800,0,1:31.057
5,4,6,Rosberg,3,4.2,0.700,0,1:31.474
6,4,7,Ricciardo,3,3.8,0.600,0,
7,4,8,Perez,3,4.3,0.500,0,
8,4,9,Vergne,3,5.2,0.800,0,
9,4,10,Hamilton,3,6.0,0.800,0,
10,4,11,Button,3,6.9,0.800,0,
11,4,12,Sutil,3,7.4,0.500,0,1:31.138
12,4,13,Sutil,4,9.9,1.400,0,1:32.804
13,4,14,Gutierrez,4,10.5,0.600,0,1:32.474
14,4,15,Maldonado,4,11.2,0.600,0,1:33.447
15,4,16,Bottas,4,12.0,0.800,0,1:33.192
16,4,17,Pic,4,12.4,0.300,0,1:33.403
17,4,18,Van Der Garde,4,13.3,0.900,0,1:33.532
18,4,19,Bianchi,4,14.2,0.800,0,1:34.384
19,4,20,Chilton,4,14.8,0.600,0,1:34.690
20,4,21,Raikkonnen,4,37.5,22.600,1,1:56.772
21,4,22,Di Resta,×,3L, ,0,
0,5,1,Vettel,5, , ,0,1:29.277
1,5,2,Massa,5,2.3,2.300,0,1:29.770
2,5,3,Alonso,5,3.5,1.700,0,1:30.468
3,5,4,Webber,5,4.0,0.500,0,1:31.361
4,5,5,Hulkenberg,5,4.6,0.600,0,1:30.756
5,5,6,Rosberg,5,5.2,0.500,0,1:30.541
6,5,7,Ricciardo,5,6.0,0.700,0,1:30.701
7,5,8,Perez,5,6.7,0.700,0,1:30.486
8,5,9,Vergne,5,7.3,0.500,0,1:30.558
9,5,10,Hamilton,5,8.2,0.900,0,1:30.940
10,5,11,Button,5,9.1,0.800,0,1:30.806
11,5,12,Grosjean,5,9.6,0.500,0,1:30.834
12,5,13,Sutil,5,11.2,1.500,0,1:30.907
13,5,14,Gutierrez,5,11.7,0.500,0,1:30.770
14,5,15,Maldonado,5,12.9,1.200,0,1:31.307
15,5,16,Bottas,5,13.8,0.800,0,1:31.333
16,5,17,Pic,5,14.7,0.900,0,1:31.876
17,5,18,Van Der Garde,5,15.9,1.100,0,1:32.124
18,5,19,Chilton,5,18.0,2.100,0,1:32.791
19,5,20,Bianchi,5,18.6,0.500,0,1:33.958
20,5,21,Raikkonnen,5,37.3,18.700,1,1:29.406
21,5,22,Di Resta,×,4L, ,0,
0,6,1,Vettel,5, , ,0,1:29.277
1,6,2,Massa,5,2.3,2.300,0,1:29.845
2,6,3,Alonso,6,3.9,1.600,0,1:29.693
3,6,4,Webber,6,4.9,0.900,0,1:30.120
4,6,5,Hulkenberg,6,5.5,0.600,0,1:30.126
5,6,6,Rosberg,6,6.2,0.700,0,1:30.282
6,6,7,Ricciardo,6,6.7,0.500,0,1:30.045
7,6,8,Perez,6,7.5,0.700,0,1:30.066
8,6,9,Vergne,6,8.0,0.400,0,1:29.959
9,6,10,Hamilton,6,8.9,0.900,0,1:29.974
10,6,11,Button,6,9.9,1.000,0,1:30.123
11,6,12,Grosjean,6,10.6,0.600,0,1:30.230
12,6,13,Sutil,6,12.6,1.900,0,1:30.639
13,6,14,Gutierrez,6,13.3,0.700,0,1:30.830
14,6,15,Maldonado,6,14.6,1.200,0,1:30.909
15,6,16,Bottas,6,15.6,1.000,0,1:31.120
16,6,17,Pic,6,16.6,1.000,0,1:31.214
17,6,18,Van Der Garde,6,18.2,1.500,0,1:31.570
18,6,19,Bianchi,6,22.5,4.300,0,1:33.271
19,6,20,Chilton,6,22.8,0.200,0,1:34.068
20,6,21,Raikkonnen,6,37.3,14.400,1,1:29.198
21,6,22,Di Resta,×,5L, ,0,
0,7,1,Vettel,7, , ,0,1:29.308
1,7,2,Massa,7,3.1,3.100,0,1:29.601
2,7,3,Alonso,7,4.0,1.100,0,1:29.406
3,7,4,Webber,7,5.0,1.000,0,1:29.494
4,7,5,Hulkenberg,7,5.9,0.900,0,1:29.808
5,7,6,Rosberg,7,6.9,0.900,0,1:30.034
6,7,7,Ricciardo,7,7.5,0.600,0,1:30.154
7,7,8,Perez,7,8.4,0.900,0,1:30.298
8,7,9,Vergne,7,8.9,0.400,0,1:30.312
9,7,10,Hamilton,7,9.5,0.500,0,1:29.924
10,7,11,Button,7,10.5,0.900,0,1:29.876
11,7,12,Grosjean,7,11.3,0.700,0,1:30.014
12,7,13,Sutil,7,13.4,2.100,0,1:30.220
13,7,14,Gutierrez,7,14.1,0.700,0,1:30.212
14,7,15,Maldonado,7,15.7,1.600,0,1:30.537
15,7,16,Bottas,7,16.8,1.000,0,1:30.541
16,7,17,Pic,7,18.3,1.500,0,1:31.089
17,7,18,Van Der Garde,7,20.0,1.600,0,1:31.197
18,7,19,Bianchi,7,27.1,7.000,0,1:33.890
19,7,20,Chilton,7,27.9,0.700,0,1:34.384
20,7,21,Raikkonnen,7,37.3,9.400,1,1:29.360
21,7,22,Di Resta,×,6L, ,0,
0,8,1,Vettel,8, , ,0,1:29.119
1,8,2,Massa,8,3.6,3.600,0,1:29.671
2,8,3,Alonso,8,3.9,0.800,0,1:29.265
3,8,4,Webber,8,5.1,1.100,0,1:29.407
4,8,5,Hulkenberg,8,6.2,1.100,0,1:29.600
5,8,6,Rosberg,8,7.4,1.100,0,1:29.787
6,8,7,Ricciardo,8,8.1,0.700,0,1:29.864
7,8,8,Perez,8,9.1,1.000,0,1:30.012
8,8,9,Vergne,8,10.0,0.800,0,1:30.361
9,8,10,Hamilton,8,10.4,0.400,0,1:30.224
10,8,11,Button,8,10.9,0.400,0,1:29.742
11,8,12,Grosjean,8,11.9,1.000,0,1:29.995
12,8,13,Sutil,8,14.3,2.300,0,1:30.174
13,8,14,Gutierrez,8,15.0,0.600,0,1:30.142
14,8,15,Maldonado,8,16.9,1.800,0,1:30.419
15,8,16,Bottas,8,18.0,1.100,0,1:30.491
16,8,17,Pic,8,20.2,2.100,0,1:31.119
17,8,18,Van Der Garde,8,21.8,1.600,0,1:31.118
18,8,19,Bianchi,8,29.9,8.100,0,1:32.151
19,8,20,Chilton,8,30.6,0.700,0,1:32.093
20,8,21,Raikkonnen,8,37.1,6.400,1,1:29.131
21,8,22,Di Resta,×,7L, ,0,
0,9,1,Vettel,9, , ,0,1:29.101
1,9,2,Massa,9,3.6,3.600,0,1:29.671
2,9,3,Alonso,9,4.1,0.400,0,1:29.317
3,9,4,Webber,9,5.5,1.300,0,1:29.472
4,9,5,Hulkenberg,9,6.8,1.300,0,1:29.730
5,9,6,Rosberg,9,8.1,1.200,0,1:29.895
6,9,7,Ricciardo,9,8.7,0.500,0,1:29.692
7,9,8,Perez,9,10.0,1.300,0,1:30.019
8,9,9,Vergne,9,11.1,1.000,0,1:30.261
9,9,10,Hamilton,9,11.5,0.400,0,1:30.254
10,9,11,Button,9,12.3,0.700,0,1:30.522
11,9,12,Grosjean,9,12.9,0.500,0,1:30.057
12,9,13,Sutil,9,15.3,2.300,0,1:30.098
13,9,14,Gutierrez,9,15.9,0.600,0,1:30.073
14,9,15,Maldonado,9,18.3,2.300,0,1:30.543
15,9,16,Bottas,9,19.4,1.100,0,1:30.533
16,9,17,Pic,9,22.1,2.600,0,1:31.017
17,9,18,Van Der Garde,9,23.9,1.800,0,1:31.199
18,9,19,Bianchi,9,32.7,8.800,0,1:31.942
19,9,20,Chilton,9,33.4,0.600,0,1:31.892
20,9,21,Raikkonnen,9,37.1,3.600,1,1:29.112
21,9,22,Di Resta,×,8L, ,0,
0,10,1,Vettel,10, , ,0,1:29.008
1,10,2,Alonso,10,4.4,4.400,0,1:29.380
2,10,3,Massa,10,5.2,0.700,0,1:30.637
3,10,4,Webber,10,6.0,0.800,0,1:29.680
4,10,5,Hulkenberg,10,7.5,1.500,0,1:29.793
5,10,6,Rosberg,10,9.2,1.600,0,1:30.143
6,10,7,Ricciardo,10,9.9,0.700,0,1:30.353
7,10,8,Perez,10,10.9,1.000,0,1:29.992
8,10,9,Vergne,10,13.2,2.200,0,1:31.205
9,10,10,Button,10,13.9,0.600,0,1:30.662
10,10,11,Hamilton,10,14.3,0.400,0,1:31.865
11,10,12,Grosjean,10,14.8,0.400,0,1:30.984
12,10,13,Sutil,10,16.1,1.300,0,1:29.951
13,10,14,Gutierrez,10,17.2,1.000,0,1:30.376
14,10,15,Maldonado,10,19.4,2.200,0,1:30.245
15,10,16,Bottas,10,20.7,1.300,0,1:30.461
16,10,17,Pic,10,23.8,3.000,0,1:30.835
17,10,18,Van Der Garde,10,26.0,2.100,0,1:31.175
18,10,19,Bianchi,10,35.7,9.700,0,1:32.053
19,10,20,Chilton,10,36.2,0.500,0,1:31.934
20,10,21,Raikkonnen,10,37.1,0.800,1,1:29.089
21,10,22,Di Resta,×,9L, ,0,
0,11,1,Vettel,10, , ,0,1:29.008
1,11,2,Alonso,10,4.4,4.800,0,1:29.421
2,11,3,Massa,11,5.9,1.100,0,1:29.782
3,11,4,Webber,11,6.7,0.700,0,1:29.701
4,11,5,Hulkenberg,11,8.4,1.600,0,1:29.835
5,11,6,Rosberg,11,9.7,1.300,0,1:29.579
6,11,7,Ricciardo,11,10.6,0.800,0,1:29.750
7,11,8,Perez,11,12.0,1.300,0,1:30.100
8,11,9,Vergne,11,14.1,2.100,0,1:29.942
9,11,10,Button,11,14.6,0.400,0,1:29.708
10,11,11,Hamilton,11,15.6,1.000,0,1:30.289
11,11,12,Grosjean,11,16.4,0.800,0,1:30.646
12,11,13,Sutil,11,17.3,0.900,0,1:30.208
13,11,14,Gutierrez,11,18.4,1.000,0,1:30.189
14,11,15,Maldonado,11,20.6,2.200,0,1:30.232
15,11,16,Bottas,11,22.3,1.600,0,1:30.585
16,11,17,Pic,11,25.7,3.300,0,1:30.933
17,11,18,Van Der Garde,11,28.0,2.200,0,1:31.040
18,11,19,Raikkonnen,11,37.8,9.700,1,1:29.719
19,11,20,Bianchi,11,39.1,1.200,0,1:32.357
20,11,21,Chilton,11,39.6,0.500,0,1:32.345
21,11,22,Di Resta,×,10L, ,0,
0,12,1,Vettel,12, , ,0,1:28.980
1,12,2,Alonso,12,5.2,5.200,0,1:29.416
2,12,3,Massa,12,6.6,1.300,0,1:29.612
3,12,4,Webber,12,7.3,0.700,0,1:29.543
4,12,5,Hulkenberg,12,9.2,1.900,0,1:29.832
5,12,6,Rosberg,12,10.3,1.100,0,1:29.585
6,12,7,Ricciardo,12,11.4,1.000,0,1:29.745
7,12,8,Perez,12,12.7,1.300,0,1:29.714
8,12,9,Vergne,12,14.9,2.100,0,1:29.766
9,12,10,Button,12,15.7,0.700,0,1:30.088
10,12,11,Hamilton,12,16.1,0.400,0,1:29.475
11,12,12,Grosjean,12,17.2,1.100,0,1:29.812
12,12,13,Sutil,12,18.6,1.300,0,1:30.274
13,12,14,Gutierrez,12,19.7,1.000,0,1:30.307
14,12,15,Maldonado,12,22.0,2.200,0,1:30.304
15,12,16,Bottas,12,23.7,1.600,0,1:30.316
16,12,17,Pic,12,27.5,3.800,0,1:30.811
17,12,18,Van Der Garde,12,29.9,2.400,0,1:30.926
18,12,19,Raikkonnen,12,37.7,7.800,1,1:28.953
19,12,20,Bianchi,12,41.5,3.700,0,1:31.445
20,12,21,Chilton,12,42.4,0.800,0,1:31.762
21,12,22,Di Resta,×,11L, ,0,
0,13,1,Vettel,12, , ,0,1:28.980
1,13,2,Alonso,12,5.2,5.200,0,1:29.416
2,13,3,Massa,13,7.2,1.500,0,1:29.612
3,13,4,Webber,13,7.8,0.500,0,1:29.490
4,13,5,Hulkenberg,13,10.1,2.200,0,1:29.830
5,13,6,Rosberg,13,11.3,1.200,0,1:29.920
6,13,7,Ricciardo,13,12.4,1.100,0,1:29.996
7,13,8,Perez,13,13.6,1.100,0,1:29.813
8,13,9,Vergne,13,15.8,2.200,0,1:29.857
9,13,10,Button,13,16.4,0.600,0,1:29.749
10,13,11,Hamilton,13,17.0,0.500,0,1:29.925
11,13,12,Grosjean,13,17.9,0.800,0,1:29.650
12,13,13,Sutil,13,19.6,1.600,0,1:29.949
13,13,14,Gutierrez,13,20.8,1.200,0,1:30.104
14,13,15,Maldonado,13,23.4,2.500,0,1:30.397
15,13,16,Bottas,13,25.0,1.500,0,1:30.279
16,13,17,Pic,13,29.8,4.800,0,1:31.243
17,13,18,Van Der Garde,13,32.0,2.200,0,1:31.059
18,13,19,Raikkonnen,13,37.7,5.700,1,1:28.961
19,13,20,Bianchi,13,44.1,6.400,0,1:31.618
20,13,21,Chilton,13,44.9,0.700,0,1:31.523
21,13,22,Di Resta,×,12L, ,0,
0,14,1,Vettel,14, , ,0,1:29.016
1,14,2,Alonso,14,5.8,5.800,0,1:29.291
2,14,3,Massa,14,7.5,1.700,0,1:29.563
3,14,4,Webber,14,8.3,0.700,0,1:29.728
4,14,5,Hulkenberg,14,10.5,2.200,0,1:29.697
5,14,6,Rosberg,14,11.8,1.200,0,1:29.724
6,14,7,Ricciardo,14,13.1,1.300,0,1:29.900
7,14,8,Perez,14,14.1,0.900,0,1:29.701
8,14,9,Vergne,14,16.4,2.300,0,1:29.818
9,14,10,Button,14,16.9,0.500,0,1:29.717
10,14,11,Hamilton,14,17.6,0.600,0,1:29.824
11,14,12,Grosjean,14,18.3,0.600,0,1:29.622
12,14,13,Sutil,14,20.1,1.700,0,1:29.740
13,14,14,Gutierrez,14,21.9,1.700,0,1:30.274
14,14,15,Maldonado,14,24.5,2.600,0,1:30.310
15,14,16,Bottas,14,25.8,1.300,0,1:30.086
16,14,17,Pic,14,31.5,5.600,0,1:30.919
17,14,18,Van Der Garde,14,34.0,2.400,0,1:31.190
18,14,19,Raikkonnen,14,37.3,3.300,1,1:28.845
19,14,20,Bianchi,14,46.5,9.100,0,1:31.588
20,14,21,Chilton,14,47.3,0.700,0,1:31.605
21,14,22,Di Resta,×,13L, ,0,
0,15,1,Vettel,14, , ,0,1:29.016
1,15,2,Alonso,14,5.8,5.800,0,1:29.291
2,15,3,Massa,14,7.5,1.700,0,1:29.563
3,15,4,Webber,14,8.3,0.700,0,1:29.728
4,15,5,Hulkenberg,14,10.5,2.200,0,1:29.697
5,15,6,Rosberg,14,11.8,1.200,0,1:29.724
6,15,7,Ricciardo,14,13.1,1.300,0,1:29.900
7,15,8,Perez,14,14.1,0.900,0,1:29.701
8,15,9,Vergne,14,16.4,2.300,0,1:29.818
9,15,10,Button,14,16.9,0.500,0,1:29.717
10,15,11,Hamilton,14,17.6,0.600,0,1:29.824
11,15,12,Grosjean,14,18.3,0.600,0,1:29.622
12,15,13,Sutil,14,20.1,1.700,0,1:29.740
13,15,14,Gutierrez,14,21.9,1.700,0,1:30.274
14,15,15,Maldonado,14,24.5,2.600,0,1:30.310
15,15,16,Bottas,14,25.8,1.300,0,1:30.086
16,15,17,Pic,14,31.5,5.600,0,1:30.919
17,15,18,Van Der Garde,14,34.0,2.400,0,1:31.190
18,15,19,Raikkonnen,14,37.3,3.300,1,1:28.845
19,15,20,Bianchi,14,46.5,9.100,0,1:31.588
20,15,21,Chilton,14,47.3,0.700,0,1:31.605
21,15,22,Di Resta,×,13L, ,0,
0,16,1,Vettel,16, , ,0,1:29.158
1,16,2,Alonso,16,6.2,6.200,0,1:29.322
2,16,3,Massa,16,8.4,2.100,0,1:29.506
