,snap_num,pos,nick,lap,gap,int,pits,t
0,3,1,Vettel,3, , ,0,1:38.015
1,3,2,Webber,3,0.9,0.900,0,1:38.289
2,3,3,Hamilton,3,1.4,0.700,0,
3,3,4,Raikkonnen,3,1.9,0.400,0,
4,3,5,Grosjean,3,2.8,0.800,0,
5,3,6,Massa,3,3.8,0.900,0,
6,3,7,Ricciardo,3,4.3,0.500,0,
7,3,8,Alonso,3,5.0,0.600,0,
8,3,9,Button,3,5.6,0.600,0,
9,3,10,Perez,3,5.8,0.200,0,
10,3,11,Hulkenberg,3,6.5,0.600,0,
11,3,12,Rosberg,3,7.0,0.400,0,
12,3,13,Sutil,3,7.4,0.300,0,
13,3,14,Di Resta,3,7.6,0.200,0,
14,3,15,Maldonado,3,9.2,1.600,0,
15,3,16,Gutierrez,3,9.5,0.200,0,
16,3,17,Van Der Garde,3,9.7,0.200,0,
17,3,18,Vergne,3,10.0,0.200,0,
18,3,19,Bottas,3,10.5,0.500,0,
19,3,20,Bianchi,3,11.1,0.500,0,
20,3,21,Pic,3,11.4,0.300,0,
21,3,22,Chilton,3,11.9,0.500,0,
0,4,1,Vettel,4, , ,0,1:37.550
1,4,2,Webber,4,0.9,0.900,0,1:37.487
2,4,3,Hamilton,4,2.0,1.000,0,1:37.658
3,4,4,Raikkonnen,4,2.6,0.600,0,1:37.509
4,4,5,Grosjean,4,3.4,0.700,0,1:37.592
5,4,6,Massa,4,5.0,1.600,0,1:39.225
6,4,7,Ricciardo,4,5.6,0.600,0,1:39.380
7,4,8,Alonso,4,6.5,0.900,0,1:39.596
8,4,9,Perez,4,7.3,0.700,0,1:39.488
9,4,10,Button,4,8.2,0.800,0,1:40.607
10,4,11,Hulkenberg,4,8.8,0.500,0,1:40.273
11,4,12,Rosberg,4,9.5,0.700,0,1:40.518
12,4,13,Di Resta,4,10.1,0.500,0,1:40.496
13,4,14,Sutil,4,10.5,0.400,0,1:41.148
14,4,15,Maldonado,4,11.8,1.200,0,1:40.592
15,4,16,Gutierrez,4,12.2,0.400,0,1:40.758
16,4,17,Van Der Garde,4,13.1,0.900,0,1:41.413
17,4,18,Vergne,4,13.5,0.300,0,1:41.528
18,4,19,Bottas,4,14.6,1.100,0,1:42.100
19,4,20,Bianchi,4,15.3,0.600,0,1:42.143
20,4,21,Pic,4,16.2,0.900,0,1:42.819
21,4,22,Chilton,4,16.8,0.600,0,1:42.915
0,5,1,Vettel,5, , ,0,1:37.427
1,5,2,Webber,5,1.1,1.100,0,1:37.619
2,5,3,Hamilton,5,2.3,1.200,0,1:37.758
3,5,4,Raikkonnen,5,3.2,0.900,0,1:38.082
4,5,5,Grosjean,5,3.4,0.700,0,1:37.592
5,5,6,Massa,×,1L, ,0,
6,5,7,Ricciardo,5,7.0,0.700,0,1:38.952
7,5,8,Alonso,5,7.9,0.800,0,1:38.882
8,5,9,Perez,5,8.6,0.700,0,1:38.838
9,5,10,Button,5,9.9,1.300,0,1:39.284
10,5,11,Hulkenberg,5,10.5,0.500,0,1:39.298
11,5,12,Rosberg,5,11.5,0.900,0,1:39.522
12,5,13,Di Resta,5,12.1,0.600,0,1:39.556
13,5,14,Sutil,5,12.5,0.400,0,1:39.540
14,5,15,Maldonado,5,14.0,1.500,0,1:39.800
15,5,16,Gutierrez,5,14.5,0.400,0,1:39.773
16,5,17,Van Der Garde,5,16.2,1.700,0,1:40.583
17,5,18,Vergne,5,16.5,0.300,0,1:40.600
18,5,19,Bottas,5,17.5,0.900,0,1:40.425
19,5,20,Bianchi,5,18.3,0.700,0,1:40.560
20,5,21,Pic,5,19.9,1.600,0,1:41.216
21,5,22,Chilton,5,20.6,0.600,0,1:41.287
0,6,1,Vettel,6, , ,0,1:37.802
1,6,2,Webber,6,0.9,0.900,0,1:37.629
2,6,3,Hamilton,6,2.3,1.200,0,1:37.758
3,6,4,Raikkonnen,6,3.2,0.900,0,1:38.082
4,6,5,Grosjean,6,3.8,0.500,0,1:37.867
5,6,6,Ricciardo,6,8.0,4.200,0,1:38.431
6,6,7,Alonso,6,9.5,1.400,0,1:39.054
7,6,8,Perez,6,10.3,0.700,0,1:39.106
8,6,9,Button,6,11.7,1.400,0,1:39.194
9,6,10,Hulkenberg,6,12.4,0.600,0,1:39.269
10,6,11,Rosberg,6,13.5,1.100,0,1:39.449
11,6,12,Sutil,6,14.7,1.200,0,1:39.617
12,6,13,Di Resta,OUT,16.4,1.600,1,
13,6,14,Maldonado,6,16.6,0.200,0,1:40.017
14,6,15,Gutierrez,6,17.1,0.400,0,1:40.072
15,6,16,Van Der Garde,6,20.0,2.800,0,1:41.239
