,snap_num,pos,nick,lap,gap,int,pits,t
0,21,1,Vettel,21, , ,1,2:36.714
1,21,2,Rosberg,21,1.5,1.500,1,2:37.458
2,21,3,Sutil,21,2.4,0.900,1,2:37.022
3,21,4,Alonso,21,3.1,0.600,1,2:37.067
4,21,5,Raikkonnen,21,4.3,1.200,1,2:37.275
5,21,6,Grosjean,21,4.7,0.900,1,2:44.300
6,21,7,Ricciardo,21,5.4,0.600,1,2:44.005
7,21,8,Perez,21,6.1,0.700,1,2:43.780
8,21,9,Webber,21,7.2,1.000,1,2:43.850
9,21,10,Button,21,8.3,1.100,1,2:43.778
10,21,11,Di Resta,21,9.4,1.000,1,2:43.957
11,21,12,Hulkenberg,21,9.9,0.400,1,2:44.199
12,21,13,Gutierrez,21,10.4,0.500,1,2:43.780
13,21,14,Hamilton,21,12.1,1.600,1,2:44.184
14,21,15,Maldonado,21,13.3,1.200,1,2:44.294
15,21,16,Vergne,21,14.5,1.200,1,2:44.382
16,21,17,Bottas,21,15.2,0.700,1,2:43.771
17,21,18,Pic,21,16.8,1.500,1,2:44.380
18,21,19,Bianchi,21,17.7,0.900,1,2:43.185
19,21,20,Chilton,21,19.5,1.700,1,2:44.162
20,21,21,Van Der Garde,21,20.4,0.900,1,2:43.701
21,21,22,Massa,21,21.2,0.700,2,2:41.968
0,22,1,Vettel,21, , ,1,2:36.714
1,22,2,Rosberg,21,1.5,1.500,1,2:37.458
2,22,3,Sutil,21,2.4,0.900,1,2:37.022
3,22,4,Alonso,21,3.1,0.600,1,2:37.067
4,22,5,Raikkonnen,21,4.3,1.200,1,2:37.275
5,22,6,Grosjean,21,4.7,0.900,1,2:44.300
6,22,7,Ricciardo,21,5.4,0.600,1,2:44.005
7,22,8,Perez,21,6.1,0.700,1,2:43.780
8,22,9,Webber,21,7.2,1.000,1,2:43.850
9,22,10,Button,21,8.3,1.100,1,2:43.778
10,22,11,Di Resta,21,9.4,1.000,1,2:43.957
11,22,12,Hulkenberg,21,9.9,0.400,1,2:44.199
12,22,13,Gutierrez,21,10.4,0.500,1,2:43.780
13,22,14,Hamilton,21,12.1,1.600,1,2:44.184
14,22,15,Maldonado,21,13.3,1.200,1,2:44.294
15,22,16,Vergne,21,14.5,1.200,1,2:44.382
16,22,17,Bottas,21,15.2,0.700,1,2:43.771
