,snap_num,pos,nick,lap,gap,int,pits,t
0,3,1,Vettel,3, , ,0,1:54.624
1,3,2,Hamilton,3,2.8,2.800,0,1:56.032
2,3,3,Rosberg,3,4.2,1.400,0,1:56.098
3,3,4,Button,3,3.3,0.500,0,
4,3,5,Alonso,3,3.6,0.200,0,
5,3,6,Webber,3,4.4,0.700,0,
6,3,7,Di Resta,3,5.0,0.500,0,
7,3,8,Hulkenberg,3,5.4,0.400,0,
8,3,9,Grosjean,3,6.0,0.500,0,
9,3,10,Raikkonnen,3,6.5,0.500,0,
10,3,11,Perez,3,6.9,0.400,0,
11,3,12,Massa,3,7.3,0.300,0,
12,3,13,Sutil,3,8.0,0.700,0,
13,3,14,Van Der Garde,3,8.5,0.400,0,
14,3,15,Maldonado,3,8.9,0.400,0,
15,3,16,Vergne,3,9.3,0.400,0,
16,3,17,Ricciardo,3,9.8,0.400,0,
17,3,18,Gutierrez,3,10.7,0.900,0,
18,3,19,Bottas,3,11.0,0.200,0,
19,3,20,Bianchi,3,11.7,0.700,0,
20,3,21,Chilton,3,12.2,0.500,0,
21,3,22,Pic,3,12.4,0.200,0,
0,4,1,Vettel,3, , ,0,1:54.624
1,4,2,Hamilton,3,2.8,2.800,0,1:56.032
2,4,3,Rosberg,3,4.2,1.400,0,1:56.098
3,4,4,Button,4,5.2,0.900,0,1:56.457
4,4,5,Alonso,4,5.7,0.400,0,1:56.676
5,4,6,Webber,4,6.4,0.700,0,1:56.666
6,4,7,Di Resta,4,7.3,0.800,0,1:56.932
7,4,8,Hulkenberg,4,8.0,0.700,0,1:57.234
8,4,9,Raikkonnen,4,8.4,0.400,0,1:56.592
9,4,10,Grosjean,4,9.2,0.700,0,1:57.843
10,4,11,Perez,4,9.9,0.700,0,1:57.615
11,4,12,Massa,4,10.3,0.300,0,1:57.616
12,4,13,Sutil,4,10.8,0.500,0,1:57.406
13,4,14,Maldonado,4,12.3,1.400,0,1:58.015
14,4,15,Van Der Garde,4,13.2,0.900,0,1:59.362
15,4,16,Vergne,4,13.7,0.500,0,1:59.014
16,4,17,Ricciardo,4,14.3,0.500,0,1:59.107
17,4,18,Gutierrez,4,14.8,0.500,0,1:58.743
18,4,19,Bottas,4,15.3,0.400,0,1:58.955
19,4,20,Bianchi,4,17.4,2.000,0,2:00.336
20,4,21,Pic,4,17.8,0.400,0,2:00.003
21,4,22,Chilton,4,19.5,1.700,0,2:01.936
0,5,1,Vettel,4, , ,0,1:54.865
1,5,2,Hamilton,4,2.8,2.800,0,1:56.032
