,snap_num,pos,nick,lap,gap,int,pits,t
0,3,1,Rosberg,3, , ,0,1:31.123
1,3,2,Vettel,3,0.5,0.500,0,1:31.248
2,3,3,Alonso,3,1.1,0.500,0,1:31.152
3,3,4,Hamilton,3,1.6,0.500,0,1:31.065
4,3,5,Raikkonnen,3,2.2,0.500,0,
5,3,6,Perez,3,3.4,1.100,0,
6,3,7,Massa,3,3.6,0.200,0,
7,3,8,Sutil,3,4.3,0.700,0,
8,3,9,Grosjean,3,4.8,0.400,0,
9,3,10,Di Resta,3,5.2,0.400,0,
10,3,11,Webber,3,5.6,0.300,0,
11,3,12,Vergne,3,6.3,0.600,0,
12,3,13,Hulkenberg,3,6.9,0.600,0,
13,3,14,Ricciardo,3,7.3,0.300,0,
14,3,15,Maldonado,3,7.9,0.500,0,
15,3,16,Gutierrez,3,8.5,0.500,0,
16,3,17,Button,3,8.8,0.300,0,
17,3,18,Bottas,3,9.1,0.200,0,
18,3,19,Van Der Garde,3,9.3,0.200,0,
19,3,20,Chilton,3,9.7,0.400,0,
20,3,21,Bianchi,3,10.2,0.400,0,
21,3,22,Pic,3,10.4,0.200,0,
0,4,1,Rosberg,4, , ,0,1:31.188
1,4,2,Vettel,4,0.6,0.600,0,1:31.306
2,4,3,Alonso,4,1.4,0.700,0,1:31.517
3,4,4,Hamilton,4,1.9,0.500,0,1:31.446
4,4,5,Raikkonnen,4,2.4,0.400,0,1:31.505
5,4,6,Massa,4,2.8,0.300,0,1:31.175
6,4,7,Perez,4,4.1,1.300,0,1:31.909
7,4,8,Sutil,4,4.9,0.700,0,1:31.743
8,4,9,Grosjean,4,5.5,0.600,0,1:31.910
9,4,10,Di Resta,4,6.2,0.600,0,1:32.066
10,4,11,Webber,4,6.7,0.500,0,1:32.209
11,4,12,Hulkenberg,4,7.6,0.800,0,1:31.782
12,4,13,Ricciardo,4,8.3,0.600,0,1:32.076
13,4,14,Vergne,4,8.8,0.500,0,1:33.680
14,4,15,Maldonado,4,9.6,0.700,0,1:32.779
15,4,16,Gutierrez,4,10.3,0.700,0,1:32.945
16,4,17,Button,4,10.8,0.400,0,1:33.114
17,4,18,Van Der Garde,4,11.5,0.600,0,1:33.281
18,4,19,Bottas,4,12.0,0.500,0,1:34.022
19,4,20,Chilton,4,12.9,0.800,0,1:34.281
20,4,21,Pic,4,13.5,0.600,0,1:34.285
21,4,22,Bianchi,OUT,17.7,4.100,1,
0,5,1,Rosberg,5, , ,0,1:30.671
1,5,2,Vettel,5,0.8,0.800,0,1:30.791
2,5,3,Alonso,5,1.4,0.600,0,1:30.646
3,5,4,Hamilton,5,2.3,0.900,0,1:31.081
4,5,5,Raikkonnen,5,2.7,0.400,0,1:30.983
5,5,6,Massa,5,3.1,0.400,0,1:31.047
6,5,7,Perez,5,4.3,1.500,0,1:31.324
7,5,8,Sutil,5,5.1,0.800,0,1:31.358
8,5,9,Grosjean,5,6.0,0.800,0,1:31.632
9,5,10,Di Resta,5,6.6,0.600,0,1:31.592
10,5,11,Webber,5,7.0,0.400,0,1:31.507
11,5,12,Hulkenberg,5,8.1,1.000,0,1:31.698
12,5,13,Ricciardo,5,8.6,0.500,0,1:31.557
13,5,14,Vergne,5,9.4,0.700,0,1:31.735
14,5,15,Maldonado,5,10.1,0.600,0,1:31.714
